review_bucket,dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
high,BIGLAKE4A,BIGLAKE_138KV_1,1_3289,1_7801,138.0,138.0,2.4555846240341004,0.35000000000000003,1.0,0.64,0.7308376705812706,0.8562031228185149,1.0,1,1.0,0.3763364042166663,top_ranked_unpropagated,-1,False,False,high,False,0.06435611696759203,5,4,0.8,0.0
high,PLESNTGROV,PLSNTGRV_69KV_1,1_39,1_6142,69.0,69.0,7.068513031026574,0.384,1.0,0.8400000000000001,0.7246834611826375,0.8517720920514991,1.0,1,1.0,0.10111469847928012,propagated,8,True,False,high,False,0.12757313191960884,2,2,1.0,0.2
high,PORTROYAL,PTR_138KV_1,1_183,1_4887,138.0,138.0,2.237354956996673,0.18,1.0,0.8,0.7232487513784399,0.8507391009924767,1.0,1,1.0,0.0699975354994058,top_ranked_unpropagated,-1,False,False,high,False,0.07546692897834706,2,2,1.0,0.0
high,TNLINDE___0,LINDE_69KV_1,1_5904,1_1150,69.0,69.0,5.596131983560977,0.3428571428571428,1.0,0.8,0.7224932631507076,0.8501951494685095,1.0,1,1.0,0.1615809180498189,propagated,8,True,False,high,False,,1,1,1.0,0.0
high,BRITNRD1_5,BRTRD_345KV_1,1_4925,1_4779,345.0,345.0,7.0548740907952086,0.3630434782608695,1.0,0.8,0.7115880547050869,0.8923433993876626,1.0,2,1.0,0.3017234829969352,propagated,3,True,False,high,False,,2,2,1.0,0.0
high,CSST,CSSWCS_138KV_1,1_5545,1_6812,138.0,138.0,2.4920514444281077,0.19999999999999998,1.0,0.6974358974358975,0.7043414898088157,0.8871258726623473,1.0,5,1.0,0.2948720534802206,propagated,7,True,False,high,False,0.10883236927103568,6,5,0.8333333333333334,0.15384615384615385
high,CALVERTSW,CALVRTSW_69KV_1,1_36,1_2851,69.0,69.0,9.38497766454161,0.39999999999999997,1.0,0.8285714285714286,0.703355854010117,0.8864162148872843,1.0,3,1.0,0.2101449931407401,propagated,7,True,False,high,False,0.05390508306584274,3,3,1.0,0.14285714285714285
high,JT_DEELY,CALAVERS_138KV_1,1_2542,1_2611,138.0,138.0,0.05006066549746608,0.049999999999999996,1.0,0.6666666666666667,0.6950833623436008,0.8804600208873926,1.0,2,1.0,0.2944806318647165,propagated,7,True,False,high,False,0.01417476783076621,6,5,0.8333333333333334,0.0
high,WESTOVER,WESTOVER_69KV_1,1_417,1_9826,69.0,69.0,15.242645272859946,0.5007246376811594,1.0,0.8400000000000001,0.683182249801082,0.8718912198567791,1.0,2,1.0,0.29450479769396054,propagated,3,True,False,high,False,0.11242709935778306,2,2,1.0,0.2
high,BOWIE8,BOW_138KV_1,1_308,1_9781,138.0,138.0,12.35093222174368,0.2823529411764706,1.0,0.875,0.6573679887382222,0.85330495189152,1.0,3,1.0,0.4759189828962142,propagated,5,True,False,high,False,0.13322080957807525,4,4,1.0,0.375
medium,RAYBURN8,RAYBURN_138KV_1,1_2667,1_889,138.0,138.1,0.20263405501818424,0.41739130434782606,0.65,0.8,0.7238236611015547,0.9011530359931194,1.0,3,1.0,0.36637967351609757,propagated,4,True,False,medium,False,,5,5,1.0,0.0
medium,BCAT_WND1,BCATWIND_34KV_1,1_8877,1_9882,34.5,34.5,2.3824263121832328,0.475,1.0,0.4,0.7150600307051991,0.8448432221077434,1.0,1,1.0,0.3978851636590162,propagated,6,True,False,medium,False,0.10299198954038591,2,1,0.5,0.0
medium,INDIA1_9,INDIA_69KV_1,1_1494,1_5244,69.0,69.0,8.192868729628003,0.41,1.0,0.8,0.711666077739122,0.842399575972168,1.0,1,1.0,0.11009748970636646,propagated,8,True,False,medium,False,0.07696834960220988,2,2,1.0,0.0
medium,L_CLEAFO8_1Y,CLEAFO_138KV_1,1_3625,1_2379,138.0,138.0,8.937071743166136,0.41923076923076924,1.0,0.8,0.706698958078991,0.8388232498168735,1.0,1,1.0,0.12620953412929947,propagated,8,True,False,medium,False,0.0501393864338715,2,2,1.0,0.0
medium,GEORGEWSTSW8,GEOWEST_138KV_1,1_2775,1_8710,138.0,138.0,6.349218799064608,0.31111111111111106,1.0,0.8,0.7061763125004501,0.8384469450003241,1.0,1,1.0,0.05439541219663091,top_ranked_unpropagated,-1,False,False,medium,False,0.06567139960676405,4,4,1.0,0.0
medium,FORDTRANSW9,FORTRSW_69KV_1,1_2670,1_1682,69.0,69.0,8.439281130509269,0.384,1.0,0.8,0.7027272827530331,0.8359636435821839,1.0,1,1.0,0.33646242621034406,propagated,8,True,False,medium,False,0.008975591958811036,3,3,1.0,0.0
medium,LBRA_ESS_5,LBRA_ESS_345KV_1,1_10165,1_2483,345.0,345.0,16.236606745675044,0.5615384615384615,1.0,0.875,0.6985979865739518,0.8329905503332453,1.0,1,1.0,0.475151187470739,propagated,4,True,False,medium,False,0.2015988714871374,2,2,1.0,0.375
medium,PCOMFORT2A,PTCOMFOR_69KV_1,1_3915,1_1662,69.0,69.0,3.5936109187440963,0.336,1.0,0.5333333333333333,0.6913277920161913,0.8277560102516578,1.0,1,1.0,0.3758077852996935,propagated,8,True,False,medium,False,0.063621924027352,3,2,0.6666666666666666,0.0
medium,BENDAVIS_5,BNDVS_345KV_1,1_524,1_4808,345.0,345.0,8.475721552701527,0.3652173913043478,1.0,0.6599999999999999,0.6696735156626473,0.7211649312771061,0.675,1,0.5,0.06327677184000413,top_ranked_unpropagated,-1,False,False,medium,False,0.031223094543766483,4,3,0.75,0.3
medium,FREERSUB9,FREERS_69KV_1,1_2900,1_8577,69.0,69.0,16.275369894080512,0.3818181818181818,1.0,0.8,0.6384099782034273,0.7896551843064676,1.0,1,1.0,0.41551966134822116,propagated,8,True,False,medium,False,0.1187773074280849,2,2,1.0,0.0
medium,FURHMANSUB8,FURHMAN_138KV_1,1_2669,1_1634,138.0,138.0,18.763305437308833,0.36923076923076925,1.0,0.8250000000000001,0.6247112490411484,0.7797920993096269,1.0,1,1.0,0.3581365403044275,top_ranked_unpropagated,-1,False,False,medium,False,0.039078528200593654,3,3,1.0,0.125
medium,ADICKS__B138,ADK_138KV_1,1_6456,1_0,138.0,138.0,17.225940872543212,0.4568181818181818,1.0,0.6666666666666667,0.6243219523166555,0.779511805667992,1.0,1,1.0,0.2752517529557016,top_ranked_unpropagated,-1,False,False,medium,False,,6,5,0.8333333333333334,0.0
medium,LBRA_ESS_L1,LBRA_ESS_34KV_2,1_10164,1_2482,34.5,34.6,16.29965430484526,0.5153846153846153,0.65,0.8571428571428572,0.5955688187770288,0.7588095495194609,1.0,1,1.0,0.3014927629478476,top_ranked_unpropagated,-1,False,False,medium,False,,2,2,1.0,0.2857142857142857
medium,JADE_HI_5,JADE_SLR_345KV_2,1_10506,1_3597,345.0,345.1,14.116191653821645,0.3776666666666667,0.65,0.8666666666666667,0.5783626143165688,0.7464210823079296,1.0,1,1.0,0.06333294657889332,top_ranked_unpropagated,-1,False,False,medium,False,,2,2,1.0,0.3333333333333333
medium,BULLARD_8,BUPOI_138KV_1,1_5109,1_6903,138.0,138.0,19.726656082990505,0.21818181818181817,1.0,0.8,0.5764280056816462,0.7450281640907853,1.0,1,1.0,0.29296557385328204,top_ranked_unpropagated,-1,False,False,medium,False,,3,3,1.0,0.0
medium,PLN_5,DAN_345KV_1,1_8154,1_275,345.0,345.0,16.351253493516776,0.22499999999999998,1.0,0.6,0.5587019316996257,0.7322653908237305,1.0,1,1.0,0.06740918951626151,top_ranked_unpropagated,-1,False,False,medium,False,,3,4,0.75,0.0
