dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
KILN_FTHD_8,,1_10668,,138.0,138.0,,0.317,1.0,0.5666666666666667,0.44258333333333333,ambiguous,True,0.007090909090909092,2,2,0.3333333333333333,0.0
TYLER_SUB_8,,1_10694,,138.0,138.0,,0.317,1.0,0.5666666666666667,0.44258333333333333,ambiguous,True,0.007090909090909092,2,2,0.3333333333333333,0.0
OPEN_SKY,,1_7258,,345.0,345.0,,0.11428571428571427,1.0,0.8181818181818182,0.44220779220779227,ambiguous,True,0.043636363636363695,3,3,1.0,0.09090909090909091
CMCHE_SS_3,,1_4831,,13.8,34.5,13.909081687350657,0.12,0.65,0.5,0.4421543632575048,ambiguous,True,8.920979948212615e-05,1,1,0.0,0.25
HNY_COMB_9,,1_10007,,69.0,69.0,,0.3416666666666667,1.0,0.5333333333333333,0.4420833333333334,ambiguous,True,0.026666666666666672,2,3,0.6666666666666666,0.0
MIEL4A,,1_4305,,138.0,138.0,,0.1263157894736842,1.0,0.8,0.44157894736842107,ambiguous,True,0.01578947368421052,2,2,1.0,0.0
CRLTNCC1_8,,1_10601,,138.0,138.0,,0.31249999999999994,1.0,0.5666666666666667,0.44145833333333334,ambiguous,True,0.0071428571428571175,2,2,0.3333333333333333,0.0
BUSHYCAN_8,,1_5247,,138.0,138.0,,0.3089285714285714,1.0,0.5666666666666667,0.4405654761904762,ambiguous,True,0.005357142857142838,2,2,0.3333333333333333,0.0
L_HENNE_8_2Y,,1_10647,,138.0,138.0,,0.4256666666666667,1.0,0.42000000000000004,0.4404166666666667,ambiguous,True,0.0040000000000000036,4,2,0.5,0.1
MONMTDRW_8,,1_10701,,138.0,138.0,,0.2608695652173913,1.0,0.625,0.44021739130434784,ambiguous,True,0.02619953416149068,3,3,0.5,0.0
MERTENS1_9,,1_10714,,69.0,69.0,,0.33366666666666667,1.0,0.5333333333333333,0.4400833333333334,ambiguous,True,0.01691666666666669,2,3,0.6666666666666666,0.0
TEMP_NW1_8,,1_10674,,138.0,138.0,,0.25869565217391305,1.0,0.625,0.43967391304347825,ambiguous,True,0.015745341614906816,3,3,0.5,0.0
TRINITY1_8,,1_10690,,138.0,138.0,,0.25869565217391305,1.0,0.625,0.43967391304347825,ambiguous,True,0.031906055900621066,3,3,0.5,0.0
PRNGMOSS_8,,1_4596,,138.0,138.0,,0.3983695652173913,1.0,0.45,0.43959239130434785,ambiguous,True,0.013043478260869545,1,1,0.0,0.0
WALLEYE2_3,,1_5504,,13.8,13.8,,0.3982142857142857,1.0,0.45,0.43955357142857143,ambiguous,True,0.030519480519480502,1,1,0.0,0.0
DSN_8,,1_8292,,138.0,138.0,,0.4375,1.0,0.4,0.439375,ambiguous,True,0.011842105263157876,4,2,0.5,0.0
OCELOT4A,,1_10786,,138.0,138.0,,0.11428571428571427,1.0,0.8,0.4385714285714286,ambiguous,True,0.01428571428571429,2,2,1.0,0.0
