dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
BR_STR78,,1_2518,,1.0,20.0,4.297357596280733,0.1636363636363636,0.65,0.29523809523809524,0.504451112243337,0.6932048008152027,1.0,1,1.0,0.19062062050030804,one_to_one_conflict,-1,False,True,ambiguous,True,,3,1,0.3333333333333333,0.14285714285714285
VOLTA,,1_7063,,345.0,345.0,16.137655353414985,0.06,1.0,0.52,0.5028740867369881,0.6920693424506315,1.0,1,1.0,0.32905277574990327,one_to_one_conflict,-1,False,True,ambiguous,True,,3,3,0.2,0.0
ROYSE3_5,,1_1589,,345.0,345.0,17.96669348792556,0.19999999999999998,1.0,0.38750000000000007,0.4996741884068408,0.6897654156529254,1.0,1,1.0,0.12464755132137129,one_to_one_conflict,-1,False,True,ambiguous,True,,3,2,0.25,0.0
CRAFTON,,1_303,,138.0,138.0,18.739934668750866,0.15652173913043477,1.0,0.8,0.5666712622711358,0.6890033088352179,0.825,1,1.0,0.2030397283390425,one_to_one_conflict,-1,False,True,ambiguous,True,,2,2,1.0,0.0
CHALUPA_W2,,1_9864,,34.5,138.0,0.024189596455424057,0.4465,0.0,0.4285714285714286,0.49697666110523353,0.6878231959957681,1.0,1,1.0,0.1367482657928457,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.14285714285714285
CHALUPA_C2,,1_9865,,34.5,138.0,0.024189596455424057,0.4465,0.0,0.4285714285714286,0.49697666110523353,0.6878231959957681,1.0,1,1.0,0.1367482657928457,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.14285714285714285
BRADYRE2,,1_3179,,69.0,69.0,2.811616289781347,0.1714285714285714,1.0,0.3422222222222222,0.6219576211460298,0.6868094872251416,0.675,1,0.5,0.05542181074736596,one_to_one_conflict,-1,False,True,ambiguous,True,,5,2,0.4,0.1111111111111111
TNHILCORP_0,,1_5931,,69.0,69.0,10.72662647801462,0.23076923076923078,1.0,0.4,0.5631593357175884,0.6864747217166637,0.825,1,1.0,0.0468471644477767,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.0
SUN_ECU_T8,,1_969,,138.0,138.0,22.224277331947835,0.15,1.0,0.5333333333333333,0.49291441561473476,0.6848983792426091,1.0,1,1.0,0.33708640196415557,one_to_one_conflict,-1,False,True,ambiguous,True,0.009842224950215972,3,2,0.6666666666666666,0.0
STAM_SLR_5,,1_8400,,345.0,345.0,15.366812646163876,0.15652173913043477,1.0,0.32,0.49226503929578136,0.6844308282929626,1.0,1,1.0,0.22762181612057958,one_to_one_conflict,-1,False,True,ambiguous,True,,3,5,0.14285714285714285,0.0
L_BOWWOO5_1Y,,1_7335,,345.0,345.0,27.6778103725091,0.2375,1.0,0.5381818181818182,0.4921918686893847,0.6843781454563571,1.0,1,1.0,0.15235313511989323,one_to_one_conflict,-1,False,True,ambiguous,True,,3,3,0.2,0.09090909090909091
PALACIOS2B,,1_3928,,69.0,69.0,19.340193213416473,0.144,1.0,0.8,0.5600654964850236,0.684247157469217,0.825,1,1.0,0.09134998436773722,one_to_one_conflict,-1,False,True,ambiguous,True,,2,2,1.0,0.0
CSTROVILESW9,,1_2858,,69.0,69.0,16.081106614178598,0.26666666666666666,1.0,0.5333333333333333,0.5575864762375732,0.6824622628910527,0.825,1,1.0,0.20535012822772375,one_to_one_conflict,-1,False,True,ambiguous,True,,3,2,0.6666666666666666,0.0
MAVRKDRW_8,,1_4636,,138.0,138.0,9.70493211848027,0.15,1.0,0.5333333333333333,0.5788302809391502,0.6814244689428549,0.7666666666666667,1,1.0,0.032466257064367565,one_to_one_conflict,-1,False,True,ambiguous,True,0.026866346974920075,2,3,0.6666666666666666,0.0
TNP664____0,,1_5928,,69.0,69.0,6.4843602997377685,0.21818181818181817,1.0,0.8,0.6814732285978703,0.6806607245904667,0.5,1,0.5,0.04095658812518577,one_to_one_conflict,-1,False,True,ambiguous,True,0.019764960810713217,2,2,1.0,0.0
NAVYKICK_T9,,1_4841,,69.0,69.0,16.658511823568652,0.10434782608695652,1.0,0.4,0.4865195911163833,0.6802941056037961,1.0,1,1.0,0.11796801679778213,one_to_one_conflict,-1,False,True,ambiguous,True,,2,1,0.5,0.0
CORAZON_B1,,1_9968,,34.5,34.5,,0.5874999999999999,1.0,0.44000000000000006,0.484875,0.6791100000000001,1.0,1,1.0,0.022499999999999964,one_to_one_conflict,-1,False,True,ambiguous,True,0.03125,2,1,0.5,0.2
SHEPLEY4A,,1_4292,,138.0,138.0,5.908173132891406,0.15,1.0,0.8285714285714286,0.6764825032679695,0.6770674023529382,0.5,1,0.5,0.010069556871481478,one_to_one_conflict,-1,False,True,ambiguous,True,0.033793206840178724,2,2,1.0,0.14285714285714285
ELARA_SL_C1,,1_9902,,34.5,138.0,0.021469931098591938,0.6194444444444444,0.0,0.4666666666666667,0.5478725682753556,0.6754682491582561,0.825,1,1.0,0.08877430279068721,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.3333333333333333
MDLTHELP_5,,1_1207,,345.0,345.0,6.666710583845557,0.15652173913043477,1.0,0.40015756302521005,0.5841208685397995,0.6721670253486557,0.72,1,1.0,0.05709135362796591,one_to_one_conflict,-1,False,True,ambiguous,True,,4,7,0.375,0.058823529411764705
L_KUNITZ8_1Y,,1_3743,,138.0,138.0,28.07110544687585,0.17857142857142855,1.0,0.5333333333333333,0.4750260641750408,0.6720187662060294,1.0,1,1.0,0.013029702333564819,one_to_one_conflict,-1,False,True,ambiguous,True,,2,3,0.6666666666666666,0.0
FORCORNERSB8,,1_2813,,138.0,138.0,3.83699965181525,0.17777777777777776,1.0,0.295,0.6010736508976169,0.6717730286462842,0.675,1,0.5,0.02092953914491935,one_to_one_conflict,-1,False,True,ambiguous,True,,2,4,0.2,0.0
CMPDREPV_5,,1_9602,,345.0,345.0,12.611830087504273,0.10434782608695652,1.0,0.52,0.5397700156554257,0.6696344112719066,0.825,1,1.0,0.08534639843609293,one_to_one_conflict,-1,False,True,ambiguous,True,,3,3,0.2,0.0
EVRMAN_E5,,1_1166,,345.0,1.0,1.3724414209564395,0.24,0.0,0.6472222222222223,0.4695482878187953,0.6680747672295326,1.0,1,1.0,0.00028524383774919393,one_to_one_conflict,-1,False,True,ambiguous,True,,3,3,0.5,0.1111111111111111
ARAGORN_C1,,1_8721,,34.5,138.0,0.02055092021016558,0.5695,0.0,0.43333333333333335,0.528733561186902,0.6616881640545694,0.825,1,1.0,0.08814189907336512,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.16666666666666666
BYULOCS,,1_3391,,138.0,138.0,10.097799884614785,0.06,1.0,0.4,0.5260715904521533,0.6597715451255505,0.825,1,1.0,0.03700676291055294,one_to_one_conflict,-1,False,True,ambiguous,True,,1,2,0.5,0.0
CUSHSE_8,,1_2168,,138.0,138.0,19.88664530529984,0.22857142857142854,1.0,0.5333333333333333,0.5248006450613978,0.6588564644442064,0.825,1,1.0,0.20651091421736145,one_to_one_conflict,-1,False,True,ambiguous,True,,3,2,0.6666666666666666,0.0
MITCHBND5_5,,1_1173,,345.0,345.0,13.220540260979043,0.25,1.0,0.4,0.5473962381728472,0.6587919581511167,0.7666666666666667,1,1.0,0.1909555929328826,one_to_one_conflict,-1,False,True,ambiguous,True,,3,6,0.5,0.0
