market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO_230 KV_CED-CLIB:ACTUAL,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB),high,medium,0.8917,0.4667,False,True
BRIGHTON 6AB           CB      500 KV,DOUBS_500 KV_500-2:L500.Brighton-Doubs,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR),medium,low,0.5917,0.3167,False,True
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,low,0.8375,0.4,False,True
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,OST_138 KV_OST-VAN2:L230.Oak Grove-Ritchie.23061,Burr Oak 345/138 kV xfmr l/o Burr Oak-Leesburg 345 kV,medium,low,0.5578,0.3318,False,True
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,medium,0.7045,0.4607,True,True
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:500/230.Conastone.500-2,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),high,medium,0.8769,0.5056,False,True
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:ACTUAL,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1),high,low,0.8417,0.4357,False,False
MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV,E W FKF3_138 KV_EWF-JORD:Mt Vernon-EWFKF3 345 kV,Mt.Vernon-W.Salem 138 kV l/o Xenia-Newton 345 kV,high,low,0.9,0.35,False,True
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA),high,medium,0.9278,0.575,True,True
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,BAGLEY  -GRACETON BAG-GRA   B  230 KV,high,medium,0.9769,0.5722,True,True
