market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
AEP-DOM CONTINGENCY 20,AEP-DOM contingency 17 Amos.U1U2U3,TRANSFER INTERFACE: AEP-DOM,medium,low,0.5857,0.4417,True,True
CULLODE2 765 KV CULLODE2-WYOMING2 (IROL,CULLODE2_765 KV_CUL-WYO1:ACTUAL,CULLODE2 765KV - WYOMING2 765KV (CULLODE2 765 KV CUL-WYO1),high,low,0.8136,0.45,False,True
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1),high,medium,0.825,0.5786,False,False
SUGARCRE345 KV  BK-N,GREENE_345 KV_BK-N:345/138.Greene.BK-S,GREENE 345KV - GREENE 138KV (GREENE 345 KV BK-N),high,medium,0.75,0.4857,True,True
HANOVER 69 KV   XFMR2,HANOVER_69 KV_XFMR2:ACTUAL,HANOVER 69KV - HANOVER 13KV (HANOVER 69 KV XFMR2),medium,medium,0.55,0.6,False,False
WILSON  138 KV  WIL-WMI2,WILSON_138 KV_WIL-WMI2:L500.Cabot-Keystone.5002,WILSON 138KV - WMIFFLIN 138KV (WILSON 138 KV WIL-WMI2),high,medium,0.7517,0.4833,True,True
CABINRUN230 KV  CAB-YARR,CABINRUN_230 KV_CAB-YARR:L230.Brambleton-PolandRoad.2183,YARDRIDG 230KV - CABINRUN 230KV (CABINRUN 230 KV CAB-YARR),high,low,0.7,0.3972,False,True
LIBERTY1230 KV  LIB-PION,LIBERTY1_230 KV_LIB-PION:ACTUAL,LIBERTY1 230KV - PIONEER1 230KV (LIBERTY1 230 KV LIB-PION),low,low,0.3167,0.3429,True,True
CHURCH  69 KV   CHU-MAS,CHURCH_69 KV_CHU-MAS:ACTUAL,CHURCH 69KV - MASSEYRE 69KV (CHURCH 69 KV CHU-MAS),medium,medium,0.5917,0.6286,True,False
HEBRON 69 KV HEBRON-MARDELA 6708-2,HEBRON_69 KV_HEB-MAR:ACTUAL,MARDELA 69KV - HEBRON 69KV (HEBRON 69 KV HEB-MAR),high,medium,0.9214,0.545,False,True
SKIMMER_115KVSKI-BAL1_1_LN,SKIMMER_115 KV_SKI-BAL1:ACTUAL,SKIMMER4 115KV - SKIMMER 115KV (SKIMMER 115 KV SKI-BAL1),medium,low,0.4722,0.25,False,True
CLIFFORD_138KVCLI-COL1_1_LN,CLIFFORD_138 KV_CLI-COL1:L500.Cloverdale-Lexington.566,CLIFFORD 138KV - COLLEEN 138KV (CLIFFORD 138 KV CLI-COL1),medium,low,0.4722,0.2,False,True
FRUITLAN_69KVFRT-LOR_1_LN,FRUITLAN_69 KV_FRT-LOR:ACTUAL,LORETTO 69KV - FRUITLAN 69KV (FRUITLAN 69 KV FRT-LOR),medium,low,0.4722,0.25,False,True
BELMONT 138 KV  BEL-MID,BELMONT_138 KV_BEL-MID:ACTUAL,BELMONT 138 KV  BEL-MID,high,medium,0.73,0.6286,False,False
LAURELDP 69 KV LAURELDP-SHARP 6705-1,LAURELDP_69 KV_LAU-SHA:ACTUAL,SHARP 69KV - LAURELDP 69KV (LAURELDP 69 KV LAU-SHA),high,medium,0.8769,0.5033,False,True
RINGGOLD T3 XFORMER H 230 KV,RINGGOLD_230 KV_T3:ACTUAL,RINGGOLD 230KV - RINGGOLD 138KV (RINGGOLD 230 KV T3),medium,low,0.6794,0.4,False,True
OBETZ   138 KV  OBE-MAR1,OBETZ_138 KV_OBE-MAR1:L138.Beatty-McComb,OBETZ 138KV - MARION2 138KV (OBETZ 138 KV OBE-MAR1),high,medium,0.8417,0.4833,False,False
FRANKLIN_115KVFRA-WWHJ_1_LN,FRANKLIN_115 KV_FRA-WWHJ:ACTUAL,WWHARTON 115KV - FRANKLIN 115KV (FRANKLIN 115 KV FRA-WWHJ),low,low,0.2222,0.3,True,True
IDYLWOO4_230KV202A_1_LN,LORE 6_161 KV_LN 4361:345L17102,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A),low,low,0.3929,0.1667,False,True
FRDRKSBG TX8 XFORMER H 230 KV,FRDRKSBG_230 KV_TX8:L230.Fredericksburg-Birchwood.2083,FRDRKSBG 230KV - FRDRKSBG 115KV (FRDRKSBG 230 KV TX8),medium,low,0.6794,0.35,False,True
WARRENT_115KV45B_1_LN,LORE 6_161 KV_LN 4361:345L17102,WARRENT 115KV - KERR45 115KV (WARRENT 115 KV 45B),low,low,0.3929,0.1667,False,True
GUARDIAN138 KV  GUA-TWI1,GUARDIAN_138 KV_GUA-TWI1:ACTUAL,TWINBRAN 138KV - GUARDIAN 138KV (GUARDIAN 138 KV GUA-TWI1),medium,low,0.6944,0.4357,False,False
HALFWAY 138 KV HALFWAY-PARAMOUN,HALFWAY_138 KV_HAL-PAR:L500.Bedington-Doubs,HALFWAY 138KV - PARAMOUN 138KV (HALFWAY 138 KV HAL-PAR),high,medium,0.9214,0.4722,False,True
ALTOONA 230 KV ALTOONA-RAYSTOWN ALT 2001,ALTOONA_230 KV_ALT-RAY:ACTUAL,ALTOONA 230KV - RAYSTOWN 230KV (ALTOONA 230 KV ALT-RAY),high,medium,0.9302,0.545,False,True
KEENEY 230 KV KEENEY AT20 XFORMER,REDLION_230 KV_20:230/138.Keeney.AT20,KEENEY 230KV - KEENEY 138KV (KEENEY 230 KV AT20),high,medium,0.7429,0.4833,False,True
COOLSPRI_69KVCOL-HAR_1_LN,COOLSPRI_69 KV_COL-HAR:ACTUAL,COOLSPRI 69KV - HARBESON 69KV (COOLSPRI 69 KV COL-HAR),medium,low,0.4722,0.25,False,True
MORGANST 115 KV MORGANST-VENANJCT MF 1019,MORGANST_115 KV_MOR-VEN:345/115.ErieWest.T1,MORGANST 115KV - VENANJCT 115KV (MORGANST 115 KV MOR-VEN),high,low,0.8351,0.4427,True,True
BEDINGTO 138 KV BEDINGTO-OPEQUON BOPE,BEDINGTO_138 KV_BED-SHE:BEDINGTO-OPEQUON (APS),BEDINGTO 138KV - OPEQUON 138KV (BEDINGTO 138 KV BED-OPE),high,medium,0.8351,0.4689,False,True
KINGWOOD 138 KV KINGWOOD-PRUNTYTO 100,KINGWOOD_138 KV_KIN-PRU:ACTUAL,PRUNTYTO 138KV - KINGWOOD 138KV (KINGWOOD 138 KV KIN-PRU),high,medium,0.8769,0.5033,False,False
MAHANSLA 138 KV MAHANS LANE-TIDD,MAHANSLA138 KV MAH-TID Tidd.Cardinal.U1,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID),high,medium,0.7648,0.5038,False,True
NORTHEAS_230KVNOR-RAP5_1_LN,NORTHEAS_230 KV_NOR-RAP5:L500.Cabot-Keystone.5002,RAPHAERD 230KV - NORTHEAS 230KV (NORTHEAS 230 KV NOR-RAP5),medium,low,0.4722,0.2,True,True
CLINTOCS138 KV  CLI-KAR1,CLINTOCS_138 KV_CLI-KAR1:L345.Bixby-Kirk,KARL 138KV - CLINTOCS 138KV (CLINTOCS 138 KV CLI-KAR1),medium,low,0.6944,0.3722,False,True
GEORGEWA 138 KV GEORGEWA-KAMMER2,GEORGEWA_138 KV_GEO-KAM:ACTUAL,KAMMER2 138KV - GEORGEWA 138KV (GEORGEWA 138 KV GEO-KAM),high,medium,0.8667,0.5033,True,True
TRAIL CREEK - MICHCITY 138 KV L/O BOSSERMAN - MICHCITY 138 KV,Monticello-EWinamac 138kV l/o Jefferson-Clifty Creek + Jefferson xfm Jefferson-Clifty Creek + Jeffe,Trail Creek - MichCity 138 kV l/o Bosserman - MichCity 138 kV,high,low,0.9,0.2929,False,True
ALBRIGHT_138KVALB-GAR_1_LN,ALBRIGHT_138 KV_ALB-GAR:ACTUAL,ALBRIGHT 138KV - GARRETT 138KV (ALBRIGHT 138 KV ALB-GAR),medium,low,0.4722,0.25,False,True
KINGWOOD 138 KV KINGWOOD-PRUNTYTO 100,KINGWOOD_138 KV_KIN-PRU:ACTUAL,PRUNTYTO 138KV - KINGWOOD 138KV (KINGWOOD 138 KV KIN-PRU),medium,medium,0.6333,0.5278,True,False
BERYL   138 KV  BER-MTZ,BERYL_138 KV_BER-MTZ:ACTUAL,MTZI APS 138KV - BERYL 138KV (BERYL 138 KV BER-MTZ),high,medium,0.8103,0.6008,False,False
KEYSTONE 230 KV KEYSTONE-SHELOCTA KHC 2014,KEYSTONE_230 KV_KEY-SHE:ACTUAL,KEYSTONE 230KV - SHELOCTA 230KV (KEYSTONE 230 KV KEY-SHE),high,medium,0.8406,0.47,True,True
HEATERS 138 KV HEATERS-SUTTON 52,HEATERS_138 KV_HEA-SUT:ACTUAL,HEATERS 138KV - SUTTON 138KV (HEATERS 138 KV HEA-SUT),high,medium,0.9159,0.5432,False,False
COLU PL 69 KV   COL-DAN,COLU PL_230 KV_COL-MON:ACTUAL,COLU PL 69 KV   COL-DAN,high,low,0.9769,0.3515,False,False
CHURCHTO69 KV   CHU-OLDM,CHURCHTO_69 KV_CHU-OLDM:ACTUAL,CHURCHTO 69KV - OLDMAN 69KV (CHURCHTO 69 KV CHU-OLDM),medium,medium,0.4545,0.4929,False,False
NEWBERRY-ROUNDTOP 975-1 A 115 KV,NEWBERRY_115 KV_NEW-ROU:ACTUAL,NEWBERRY 115KV - ROUNDTOP 115KV (NEWBERRY 115 KV NEW-ROU),high,medium,0.8769,0.5033,False,True
LOUDOUN4 500 KV LOUDOUN4 TX2 XFORMER,LOUDOUN4_500 KV_TX2:ACTUAL,LOUDOUN4 TX2      XFORMER   H  500 KV,medium,medium,0.5821,0.4857,False,False
LEESVILL_138KVLEE-ALT1_1_LN,LEESVILL_138 KV_LEE-ALT1:ACTUAL,LEESVILL 138KV - ALTAVSTA 138KV (LEESVILL 138 KV LEE-ALT1),low,low,0.2222,0.3167,True,True
EAKRON  138 KV  EAK-HAY,EAKRON_138 KV_EAK-HAY:ACTUAL,EAKRON 138KV - HAYELMRZ 138KV (EAKRON 138 KV EAK-HAY),high,medium,0.8417,0.6008,False,False
NSHENVPC115 KV  NSH-NSHE,NSHENVPC_115 KV_NSH-NSHE:L500.Elmont-Cunningham.553,NSHENVPC 115KV - NSHE APS 115KV (NSHENVPC 115 KV NSH-NSHE),high,low,0.7227,0.4008,False,False
HARPERFE 138 KV HARPERFE-02BRUSH BRU-HAR,HARPERFE_138 KV_BRU-HAR:L345.Hanna-Juniper,HARPERFE-02BRUSH  BRU-HAR   A  138 KV,high,low,0.9172,0.4477,True,True
GLENARM 115 KV GELNARM-WINDYEDGE2 110512,GLENARM_115 KV_GLE-WIN2:ACTUAL,GLENARM 115 KV  GLE-WIN2,medium,medium,0.5917,0.5119,True,True
HAMPSHIR_138KVHAM-RID_1_LN,HAMPSHIR_138 KV_HAM-RID:ACTUAL,RIDGELEY 138KV - HAMPSHIR 138KV (HAMPSHIR 138 KV HAM-RID),medium,low,0.4722,0.25,False,True
CHARGER 138 KV  CHA-COU,CHARGER_138 KV_CHA-COU:ACTUAL,COUNTRYS 138KV - CHARGER 138KV (CHARGER 138 KV CHA-COU),high,medium,0.8417,0.6008,False,False
LINCOLN 115 KV LINCOLN-STRABAN 998,LINCOLN_115 KV_LIN-STR:ACTUAL,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR),high,medium,0.9214,0.545,False,False
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,SHADEGAP_115 KV_SHA-THR:230/115.Lewistown.T3,ROXBURY 115 KV  ROX-SHA,high,low,0.8417,0.35,False,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:ACTUAL,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),high,medium,0.8769,0.5033,False,True
PHILIPSB 115 KV PHILIPSBG-SHAWVILL SF 1079,PHILIPSB_115 KV_PHI-SHA:ACTUAL,SHAWVILL 115KV - PHILIPSB 115KV (PHILIPSB 115 KV PHI-SHA),high,low,0.8,0.4394,False,True
PLEASNTV TX3 XFORMER L 230 KV,PLEASNTV_230 KV_TX1:ACTUAL,PLEASNTV TX3      XFORMER   L  230 KV,medium,low,0.6536,0.2929,False,True
CANAANVA 138 KV CANAANVA-SENECACA 160,CANAANVA_138 KV_CAN-SEN:L500.Hatfield-Ronco,CANAANVA 138KV - SENECACA 138KV (CANAANVA 138 KV CAN-SEN),high,low,0.8769,0.4449,False,True
JOHNSONM-OTTER B 138 KV,JOHNSONM_138 KV_JOH-OTT1:765/138.JoshuaFalls.1,OTTER 138KV - JOHNSONM 138KV (JOHNSONM 138 KV JOH-OTT1),high,medium,0.8727,0.4833,False,True
HOPKINS_HOP138HOPKINS_1_LN,LORE 6_161 KV_LN 4361:345L17102,HOPKINS_HOP138HOPKINS_1_LN,high,low,0.75,0.1667,False,True
8809    138 KV  8809 1,BERGEN_138 KV_REAC1339:ACTUAL,02FAYET 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-02F1),low,low,0.2,0.2,True,True
PLYWOOD 115 KV  151A,PLYWOOD_115 KV_151A:ACTUAL,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A),high,medium,0.7697,0.55,False,False
AP SOUTH REACTIVE TRANSFER INTERFACE,TRANSFER INTERFACE: APSOUTH:Chesterfield.U6,TRANSFER INTERFACE: APSOUTH,medium,low,0.5962,0.2962,True,True
EDELPHOS69 KV   EDE-NDE,EDELPHOS_69 KV_EDE-NDE:ACTUAL,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE),high,medium,0.7045,0.4607,False,True
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:500/230.Deans.500-1,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),high,medium,0.8252,0.47,False,True
AMDEASTN115 KV  AMD-NORW,GLENDON_115 KV_GLE-NORW:L500.Hosensack-SteelCity.5032,NORTHWOO 115KV - AMDEASTN 115KV (AMDEASTN 115 KV AMD-NORW),high,low,0.7071,0.2833,False,True
JOPPA NORTH SHAWNEE LN_3 L/O SHAWNEE 500 345 T11,JOPPA_345 KV_XFA:500/345.Shawnee.AA (TVA),Renshaw-Livingston 161 l/o Shawnee 500/345,medium,low,0.45,0.2104,True,True
SHENANGO_138KVSHE-CRO2_1_LN,SHENANGO_138 KV_SHE-CRO2:345/138.Hoytdale.T1,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO2),medium,low,0.4722,0.2222,False,True
OX4 230 KV OX4 -GALLWSRD 2097B,OX4_230 KV_2097B:L500.Brambleton-GooseCreek.558,OX4 230KV - GALLWSRD 230KV (OX4 230 KV 2097B),high,low,0.8857,0.4,False,True
CLOUD_115KVCLO-KERR_1_LN,CLOUD_115 KV_CLO-KERR:L500.Cloverdale-Lexington.566,KERRDAM 115KV - CLOUD 115KV (CLOUD 115 KV CLO-KERR),medium,low,0.4722,0.2,False,True
502JCT TR2 XFORMER H 500 KV,502JCT_500 KV_TR2:ACTUAL,502JCT TR2  XFORMER         H  500 KV,high,medium,0.7167,0.4857,False,False
MAHANSLA_138KVMAH-TID_1_LN,MAHANSLA_138 KV_MAH-TID:ACTUAL,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID),medium,low,0.45,0.25,False,True
GLENARM_115KVGLE-WIN2_1_LN,GLENARM_115 KV_GLE-WIN2:ACTUAL,GLENARM 115 KV  GLE-WIN2,low,low,0.2857,0.3167,True,True
LAYMAN 138 KV LAYMAN-WOLFCREE 86,LAYMAN_138 KV_LAY-WOL:ACTUAL,WOLFCREE 138KV - LAYMAN 138KV (LAYMAN 138 KV LAY-WOL),high,medium,0.9278,0.5472,False,False
ERIEW 345 KV ERIEW NO3 TX XFORMER,ERIEW_345 KV_NO3 TX:ACTUAL,ERIEW    NO3 TX   XFORMER   H  345 KV,high,medium,0.9244,0.55,False,False
JOHNSONM-OTTER B 138 KV,JOHNSONM_138 KV_JOH-OTT1:765/138.JoshuaFalls.1,OTTER 138KV - JOHNSONM 138KV (JOHNSONM 138 KV JOH-OTT1),high,medium,0.8667,0.4833,False,True
CHURCH 138 KV CHURCH AT2 XFORMER,CHURCH_138 KV_AT2:ACTUAL,CHURCH 138KV - CHURCH 69KV (CHURCH 138 KV AT2),high,medium,0.7429,0.4833,False,False
BLACKLIC138 KV  BLA-GAH1,BLACKLIC_138 KV_BLA-GAH1:ACTUAL,BLACKLIC 138KV - GAHANNA 138KV (BLACKLIC 138 KV BLA-GAH1),medium,low,0.6944,0.4357,False,True
SAXTON 115 KV SAX-SNA,SAXTON_115 KV_SAX-SNA:ACTUAL,SAXTON  115 KV  SAX-SNA,high,medium,0.73,0.6286,False,False
SHADEGAP115 KV SHA-THR,SHADEGAP_115 KV_SHA-THR:500/230.Hunterstown.T1,SHADEGAP115 KV  SHA-THR,high,low,0.8,0.4286,True,True
VIENNA 230 KV VIENNA AT20 TRANSFORMER,PINEYGRO_230 KV_AT20:230/138.Vienna.AT20,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20),high,medium,0.7429,0.4833,False,True
ASHTABUL138 KV  ASH-04S3,ASHTABUL_138 KV_ASH-04S3:ACTUAL,ASHTABUL 138KV - SANBORN 138KV (ASHTABUL 138 KV ASH-04S3),medium,low,0.6944,0.4357,False,False
TYLER   230 KV  2003B1,TYLER_230 KV_2003B1:L500.Carson-Midlothian.563,POE 230KV - TYLER 230KV (TYLER 230 KV 2003B1),high,low,0.7833,0.4357,False,True
CHERRYRN_138KVCHE-HAR_1_LN,CHERRYRN_138 KV_CHE-HAR:ACTUAL,CHERRYRN 138KV - HARMOJCT 138KV (CHERRYRN 138 KV CHE-HAR),medium,low,0.4722,0.25,False,True
SHAMPTON115 KV  93A,SHAMPTON_115 KV_93A:ACTUAL,SHAMPTON 115KV - WTKINSCR 115KV (SHAMPTON 115 KV 93A),medium,low,0.5867,0.35,False,False
POINT1  69 KV   POI-SUN1,POINT1_69 KV_POI-SUN1:L230.Columbia-Montour,SUNBURY 69KV - POINT1 69KV (POINT1 69 KV POI-SUN1),high,medium,0.825,0.4833,False,False
SALTSPRG_138KVSAL-MAS1_1_LN,SALTSPRG_138 KV_SAL-MAS1:ACTUAL,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1),medium,low,0.4722,0.25,False,True
OX4_T1_500TX2_XF,SCADIZ_138 KV_T1_XF:ACTUAL,OX4 500KV - OX4 230KV (OX4 500 KV TX2),low,low,0.375,0.25,False,True
ISLCRKDP115 KV  193B,ISLCRKDP115 KV 193C Belmont-Pleasants #2 line Pleasants #2 gen (AP),CLARKVTP 115KV - ISLCRKDP 115KV (ISLCRKDP 115 KV 193B),medium,low,0.5889,0.3,False,True
STAFFORD_230KV2104B_1_LN,LORE 6_161 KV_LN 4361:345L17102,CRANESCR 230KV - STAFFORD 230KV (STAFFORD 230 KV 2104B),low,low,0.3929,0.1667,False,True
BIGPINET_138KVBIG-KIS_1_LN,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),medium,low,0.4722,0.25,False,True
LINCOLN 115 KV LINCOLN-STRABAN 998,LINCOLN_115 KV_LIN-STR:ACTUAL,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR),high,medium,0.9214,0.545,False,False
BURMA_115KVBUR-PIN_1_LN,BURMA_115 KV_BUR-PIN:ACTUAL,BURMA   115 KV  BUR-PIN,low,low,0.2857,0.3,True,True
BEDINGTO 500 KV BEDINGTO-BLACKOAK 500KV,BEDINGTO_500 KV_BED-BLA:Keystone-Juniata 500kV,BED-BLA contingency 15,medium,medium,0.6233,0.5056,False,False
FARMERSV-RIDG PN RV 1048 A 115 KV,FARMERSV_115 KV_FAR-RID:ACTUAL,FARMERSV 115KV - RIDG PN 115KV (FARMERSV 115 KV FAR-RID),high,low,0.8596,0.4394,False,True
BELLSMIL138 KV  BEL-BET4,BELLSMIL_138 KV_BEL-BET4:ACTUAL,BELLSMIL 138KV - BETHESDA 138KV (BELLSMIL 138 KV BEL-BET4),medium,medium,0.45,0.4757,True,False
ECLIPSE 115 KV ECL-UTI,ECLIPSE_115 KV_ECL-UTI:ACTUAL,ECLIPSE 115KV - UTICAJCT 115KV (ECLIPSE 115 KV ECL-UTI),high,medium,0.8417,0.6008,True,False
CUNNIHAM 553T564      CB       500 KV,CUNNIHAM_500 KV_553A:ACTUAL,CUNNIHAM 534T564      CB       500 KV,high,low,0.8083,0.3167,True,True
CONASTON 230 KV CON-GRAC,CONASTON_230 KV_CON-GRAC:ACTUAL,CONASTON230 KV  CON-GRAC,medium,medium,0.6452,0.575,True,True
AHOSKIE 115 KV  TX2,AHOSKIE_115 KV_TX2:ACTUAL,AHOSKIE 115KV - AHOSKIE 35KV (AHOSKIE 115 KV TX2),medium,medium,0.55,0.6,False,False
PANTEGO 115 KV  PAN-TERR,PANTEGO_115 KV_PAN-TERR:ACTUAL,TERRA 115KV - PANTEGO 115KV (PANTEGO 115 KV PAN-TERR),high,medium,0.8417,0.6008,False,False
EDINBUR4138 KV  TX4,EDINBUR4138 KV TX3 DOOMS 500/230 TX#7,EDINBUR4 138KV - EDINBUR4 115KV (EDINBUR4 138 KV TX4),medium,low,0.4667,0.35,True,True
CEDARCRE 230 KV CEDARCRE-MILFORD 23031,CEDARCRE_230 KV_CED-MIL:L230.Milford-Steele.23076,CEDARCRE 230KV - MILFORD 230KV (CEDARCRE 230 KV CED-MIL),high,medium,0.8833,0.5386,False,True
CPP_RIDG 138 KV CPP_RIDG-02CLINTN RID-02C1,CPP_RIDG_138 KV_RID-02C1:ACTUAL,02CLINTN 138KV - CPP_RIDG 138KV (CPP_RIDG 138 KV RID-02C1),medium,medium,0.6333,0.5536,True,True
MAPLEOE 138 KV MAPLEOE-JACKSNOE,MAPLEOE_138 KV_MAP-JAC1:ACTUAL,JACKSNOE 138KV - MAPLEOE 138KV (MAPLEOE 138 KV MAP-JAC1),high,medium,0.9172,0.525,False,False
FREMNT_138KVFRE-FRE1_1_LN,FREMNT_138 KV_FRE-FRE1:ACTUAL,FREMNT  138 KV  FRE-FRE1,low,low,0.2857,0.3167,True,True
CARL_PN_115KVCAR-GAR_1_LN,CARL PN_115 KV_CAR-GAR:ACTUAL,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR),medium,low,0.5227,0.3,True,True
FLINT_230KVFLI-PLY_1_LN,FLINT_230 KV_FLI-PLY:ACTUAL,FLINT   230 KV  FLI-PLY,low,low,0.2857,0.3,True,True
CARL PN-GARDNERS 1049 B 115 KV,CARL PN_115 KV_CAR-GAR:ACTUAL,CARL PN 115KV - GARDNERS 115KV (CARL PN 115 KV CAR-GAR),high,medium,0.9345,0.5833,False,True
DESOTO  138 KV  DES-MOD,DESOTO_138 KV_DES-MOD:138/69.Jay.T1,DESOTO 138KV - MODOC 138KV (DESOTO 138 KV DES-MOD),high,medium,0.8417,0.55,False,True
LAURELDP 69 KV LAURELDP-SHARP 6705-1,LAURELDP_69 KV_LAU-SHA:ACTUAL,LAURELDP 69KV - SHARP 69KV (LAURELDP 69 KV LAU-SHA),high,medium,0.8833,0.5056,False,True
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,medium,0.7045,0.4607,False,True
ALLENIM_345KVALL-RPM_1_LN,ALLENIM_345 KV_ALL-RPM:Perry.U1,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),medium,low,0.4722,0.2222,False,True
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:ACTUAL,GRACETON230 KV  GRA-SAF,medium,low,0.651,0.3722,True,True
AHOSKIE 115 KV  136B,AHOSKIE_115 KV_136B:L115.Pecan-Carolina.1010,TUNIS 115KV - AHOSKIE 115KV (AHOSKIE 115 KV 136B),high,low,0.7833,0.4357,False,True
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,medium,0.71,0.4643,False,True
ROCKWOOD_115KVROC-SOM_1_LN,ROCKWOOD_115 KV_ROC-SOM:ACTUAL,SOME PN 115KV - ROCKWOOD 115KV (ROCKWOOD 115 KV ROC-SOM),medium,low,0.45,0.25,False,True
TODDHUNT345 KV  17,12 DRESD345 KV 1222 345L8012-1 Pontiac-Cayuga Ridge South 345 kV Line,GARVER 345KV - GARVER 138KV (GARVER 345 KV 24),medium,low,0.48,0.2,True,True
REDLION 230 KV  RED-SIL2,REDLION_230 KV_RED-SIL2:L230.RedLion-SilverRun.23057 (Future),REDLION 230KV - SILVERUN 230KV (REDLION 230 KV RED-SIL2),high,medium,0.835,0.4833,False,True
KEENEY 230 KV KEENEY-STEELE 23001,KEENEY_230 KV_KEE-STE1:Keeney-Steele.23009,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE1),high,medium,0.9172,0.65,False,False
SMIT APS 138 KV SMIT APS-WYLIERID 214/WYR,SMIT APS_138 KV_SMI-WYL:ACTUAL,WYLIERID 138KV - SMIT APS 138KV (SMIT APS 138 KV SMI-WYL),high,medium,0.8703,0.5197,False,True
7713    -981 CRES 7713 2  L/O CORBIN-OGLESBY 2,CRBN_138 KV_CRB-CRES:L138.Corbin-Putnam (IP/MISO),7713    -981 CRES 7713 2  l/o Corbin-Oglesby 2,high,low,0.79,0.1952,True,True
PLSNTVLY138 KV 02P-HIC2,PLSNTVLY_138 KV_02P-HIC2:L345.Hanna-Juniper,HICKRY 138KV - PLSNTVLY 138KV (PLSNTVLY 138 KV 02P-HIC2),medium,low,0.6786,0.3722,False,False
DALESVIL-NOTTINGH 220-05 B 230 KV,DALESVIL_230 KV_DAL-NOT:ACTUAL,NOTTINGH 230KV - DALESVIL 230KV (DALESVIL 230 KV DAL-NOT),high,medium,0.8769,0.5033,False,False
BAIR    115 KV  BAI-HIL,BAIR_115 KV_BAI-HIL:ACTUAL,BAIR 115KV - HILL 115KV (BAIR 115 KV BAI-HIL),high,medium,0.8477,0.6036,False,True
155 NELS 345 KV 155 NELSON 45TR84 CT,155 NELS_345 KV_TR84CT-P:345/138.Nelson.TR82,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR84CT-P),high,medium,0.7167,0.4833,False,True
ROCKPWKS 765 KV ROCKPWKS 8 XFORMER,ROCKPWKS_765 KV_7:ACTUAL,ROCKPWKS765 KV  7,low,low,0.4333,0.39,False,True
ASPENSLR_115KVASP-ROXB_1_LN,ASPENSLR_115 KV_ASP-ROXB:ACTUAL,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB),medium,low,0.4722,0.25,False,True
BLACKLIC138 KV  BLA-GAH1,BLACKLIC_138 KV_BLA-GAH1:ACTUAL,GAHANNA 138KV - BLACKLIC 138KV (BLACKLIC 138 KV BLA-GAH1),medium,low,0.6944,0.4357,False,True
COPPERST230 KV  COP-HUM,COPPERST_230 KV_COP-HUM:230/69.SouthLebanon.T1,COPPERST 230KV - HUMMELST 230KV (COPPERST 230 KV COP-HUM),high,low,0.7045,0.4286,False,True
FIVEFORK115 KV  FIV-GRA,FIVEFORK_115 KV_FIV-GRA:L500.Conastone-PeachBottom.5012,FIVEFORK115 KV  FIV-GRA,high,low,0.7167,0.4008,True,True
