market_constraint,dayzer_constraint,pano_constraint
NORTH PORT - ALBIONIM L/O ROBISON PARK 345/138 T5 XF,,ALLENIM 138KV - ROBISONP 138KV (ALLENIM 138 KV ALL-ROBI)
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,,ROXBURY-SHADEGAP KR 1075    B  115 KV
GLENBROO69 KV   GLE-KOON,GLENDON_115 KV_GLE-HOS:Portland #3 230/115 kV Transformer,
HARWOOD 230 KV HARWOOD-SUSQUEHA,,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS)
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW)
CRESCENT RIDGE - 7713 138 L/O KEWANEE EAST - BUREAU,CRES DUQ_345 KV_T1:Crescent (DUQ) 345/138 KV #2 TRANSFORMER,Crescent Ridge - 7713 138 l/o Kewanee East - Bureau
STATE LN- ROXANA 138 KV L/O SHEFFIELD XFMR 345/138 KV,,7 STATE 138KV - 17ROXANA 138KV (7 STATE 138 KV STA-17R1)
BELLEFON138 KV  T3,,BELLEFON 138KV - BELLEFON 69KV (BELLEFON 138 KV T3)
RAPPAHAN115 KV  RAP-WHIT,BAGLEY_230 KV_BAG-RAP:500/230.Waugh Chapel.500-1,RAPPAHAN 115KV - WHITESTN 115KV (RAPPAHAN 115 KV RAP-WHIT)
EAST MOLINE 345/161 KV 9T1 L/O QUAD CITIES - SUB91 345KV,AMOS_765 KV_6:AMOS 765-345KV XF #5,SUB 39 345KV - SUB 39 161KV (SUB 39 345 KV 9T1)
HINSHAW - BURR OAK 345 KV L/O WILTON CENTER - DUMONT 765 KV,GARYAVE_345 KV_A:Dumont-Wilton Center 765kV,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV
MONROE-LALLENDORF 345 KV L/O LULU 345 KV SUB,DAVNPRT6_161 KV_62211622:Cordova-Sub 39(39-QC-1)345 Line,Monroe-Bayshore 345 kV l/o Lulu 345 kV Sub
LINVFT_230KVLIN-VFT1_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
SAPONY  230 KV  TX2,SAPONY_230 KV_TX2:ACTUAL,
HOWARD2 138 KV  HOW-MEL1,HOWARD2_138 KV_HOW-MEL1:ACTUAL,
CONASTON 500 KV CONASTON 500-4 XFORMER,,GERMANTO 1 BANK   XFORMER   L  115 KV
DOUBS   500 KV  DOU-GOO,,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO)
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR)
CARL PN-GARDNERS 1049 B 115 KV,,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR)
PRESTON-TANYARD 6716-5 B 69 KV,,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN)
911INDUS138 KV  911-NEWC,,HOYTDAL2 345KV - HOYTDAL2 138KV (HOYTDAL2 345 KV 2)
KERRDAM 115 KV  1019A,KERRDAM_115 KV_1019A:ACTUAL,KERRDAM 115KV - PALMERSP 115KV (KERRDAM 115 KV 1019A)
GRACETON230 KV  GRA-MANO,,GRACETON230 KV  GRA-SAF
MAHOMET - OCB 1303 L/O DUMONT - WILTONCENTER 765KV,,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:L500.Juniata-TMI.5008,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:230/115.NorthMeshoppen.T3,
974 ZION345 KV  PLPL41,,974 ZION 345KV - 154 LIBE 345KV (154 LIBE 345 KV 15423)
LENOX-MACNEW_T LEN-MAC     A  115 KV,MACNEW_T_115 KV_MAC-WIL:L500.Hopatcong-Lackawanna.5063,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC)
EDISON2 138 KV  EDI-OLI1,EDISON2_138 KV_EDI-OLI1:345/138.Twinbranch.6 & 7,EDISON2 138 KV  EDI-GRA
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
BERGEN_230KVBER-HUD_1_LN,BERGEN_138 KV_REAC1344:Combined 4650 and 74440,
NEWBERRY-ROUNDTOP 975-1 A 115 KV,,NEWBERRY 115KV - ROUNDTOP 115KV (NEWBERRY 115 KV NEW-ROU)
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,,ROSELAND 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-ROSY)
BROADVW 138 KV  BRO-FIN,BROADVW_138 KV_BRO-FIN:ACTUAL,
BIGSANDY138 KV  BIG-BUS1,BIGSANDY_138 KV_BIG-BUS1:L138.BigSandy-Inez,
GORE APS 138 KV GORE APS-STONEWAL JST4,,GORE APS 138KV - STONEWAL 138KV (GORE APS 138 KV GOR-STO)
KEYSTONE_230KVKEY-SHE_1_LN,,
LAUSCHTO500 KV  T3,,LAUSCHTO 500KV - LAUSCHTO 230KV (LAUSCHTO 500 KV T3)
BEDINGTO 500 KV BEDINGTO-BLACKOAK 500KV,BEDINGTO_500 KV_BED-BLA:Conemaugh-Keystone 500 kV,TRANSFER INTERFACE: BED-BLA
CRESCENT-7713 138 L/O KEWANEE-STREATOR 6101 138,,Crescent-7713 138 l/o Kewanee-Streator 6101 138
LACKAWAN500 KV  4,,
BUNSONVILLE - EUGENE TIE 345KV L/O DUMONT - WILTON CENTER 765KV,,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV
CEDARSUB230 KV CED-WILF,,
MEHOOPAN115 KV  MEH-NME2,MEHOOPAN_115 KV_MEH-NME2:230/115.NorthMeshoppen.T3,
GRANT 138 KV GRANT-GREENTO2,,GREENTO2 138KV - GRANT 138KV (GRANT 138 KV GRA-GRE1)
AP SOUTH REACTIVE TRANSFER INTERFACE,,TRANSFER INTERFACE: AEP-DOM
1808    138 KV  1808 3,,
MIAMIFOR138 KV MIA-HEB,,
EDDINGTO 230 KV EDDINGTO-HOLMETAP 220-56,,EDDINGTO-HOLMETAP 220-56    B  230 KV
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,,NOTTINGHM 1-3 SER DEV       A  230 KV
STATELIN-17WOLFLK NIP TIE A 138 KV,7 STATE_138 KV_STA-17W1:345L17703 Burnham-Munster 345 kV Tie Line,
CUMB PL 230 KV CUMB PL-JUNIATA 2235,,
02LYONS_138KV02L-02F1_1_LN,BP_HUSKY_138 KV_BPH-02F1:L345.Lemoyne-Midway,
BENTONHA138 KV  BEN-CRY1,,TWINBRAN 345KV - TWINBRAN 138KV (TWINBRAN 345 KV T-7)
CEDARCRE_230KVCED-SIL_1_LN,,SILVERUN 230KV - CEDARCRE 230KV (CEDARCRE 230 KV CED-SIL)
LACKAWAN500 KV  3,,
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1)
MAPLEST - CHRYSLER 138 KV L/O HIGHLANDPARK - NEWLONDON 230 KV,,MAPLECIN 138KV - 08CHRYSL 138KV (MAPLECIN 138 KV MAP-08C1)
