market_constraint,dayzer_constraint,pano_constraint
PERDUE 69 KV PERDUE-TASLEY 69 KV 6778-2,GREENBUS_69 KV_GRN-TAS:L69.OakHall-Perdue-Tasley.6778,LINE    138 KV  CRO-PER
DALESVIL230 KV  220-05,,DALESVIL230 KV  220-05
BELMONT 138 KV  BEL-WILH,BELMONT_138 KV_BEL-WILH:ACTUAL,
TODD 69 KV TODD-VIENNALO 6702-1,,TODD    69 KV   TOD-VNL
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,,RICHLND 138KV - LOCKWOOD 138KV (LOCKWOOD 138 KV LOC-RIC1)
QUADCITIES - ROCKCREEK 345 KV L/O QUADCITIES SUB 91 SUB 91 XF,,940 CORD 345KV - SUB 39 345KV (940 CORD 345 KV 39-QC-1)
BEAUMEAD230 KV  BEA-PARA,,BEAUMEAD 230KV - PARAGNPK 230KV (BEAUMEAD 230 KV BEA-PARA)
CHARLERO 138 KV CHARLERO-UNIONJCT UNNJ-CH,,CHARLERO 138KV - UNIONJCT 138KV (CHARLERO 138 KV CHA-UNI)
HOMERCIT 230 KV HOMERCIT-SHELOCTA KHC 2014,,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE)
BRUNSWIC230 KV  BUR-MEA,,BRUNSWIC230 KV  BUR-MEA
PRESTON-TANYARD 6716-5 B 69 KV,,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN)
SAMMISFE138 KV  SAM-TOR2,SAMMISFE_138 KV_SAM-TOR2:ACTUAL,
CARTANZA230 KV  CAR-SIL,CARRCROF_69 KV_CAR-SIL:L138.Carrcroft-WestWilmington.13826,
KEENEY 500 KV KEENEY-ROCKSPRI 5025,,ROCKSPRI 500KV - KEENEY 500KV (KEENEY 500 KV KEE-ROC)
VINELAND69 KV   0712,,VINELAND69 KV   0712
DICKERSH 230 KV DICKERSH-QUINCEOR 23032,DICKERSH_230 KV_DIC-QUI2:L500.Brighton-Doubs,
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1)
PIERC_DK345 KV  PIE-PIE2,,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE2)
BARTONVI 138 KV BARTONVI-MEADOWBR MSW1,,
COLLIER 345 KV COL-TID,,TIDD_AEP 345KV - COLLIER 345KV (COLLIER 345 KV COL-TID)
GORDONSV230 KV  GOR-REMI,GORSUCH_138 KV_GOR-HAR:ACTUAL,GORDONSV 230KV - REMINGTN 230KV (GORDONSV 230 KV GOR-REMI)
GLENBROO69 KV   GLE-KOON,,MOUN_UGI_69KVMOU-PLY1_1_LN
THELMA 69 KV THE-THE1,THELMA_138 KV_THE-BUS1:L765.Culloden-Wyoming,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1)
CORNER 138 KV CORNER-LAYMAN,,CORNER 138KV - LAYMAN 138KV (CORNER 138 KV COR-LAY)
PETERS 138 KV PETERS-UNIONJCT UNNJ-PTR,,UNIONJCT 138KV - PETERS 138KV (PETERS 138 KV PET-UNI)
WEST CONTINGENCY 14,,TRANSFER INTERFACE: WEST
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE1:L345.DOEX530-Pierce.2,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
7 STATE 345 KV 7 STATE TR82CT XFORMER,,
MAINESBG_115KVMAI-MAN_1_LN,,
PIERC_DK345 KV  PIE-PIE1,,
OAKGROVE_230KVOAK-TAL7_1_LN,,TALBERT 230KV - OAKGROVE 230KV (OAKGROVE 230 KV OAK-TAL7)
CAMPBEL2138 KV  CAM-ELI1,CAMDEN2_138 KV_CAM-HEN1:L345.DavisBesse-Hayes,ELIMA 138KV - CAMPBEL2 138KV (CAMPBEL2 138 KV CAM-ELI1)
SHERWOOD_115KV91C_1_LN,,
PIERC_DK345 KV  PIE-PIE1,,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE1)
EWINDSOR230 KV  EWI-SMI,SMITHJCT_115 KV_SMI-YOR:230/115.Yorkana.T3,LEWIS   -MOSSMILL LEW-MOSS  B  69 KV
SMITHJCT115 KV  SMI-YOR,,BRUNNERI 230KV - WHEMPFIE 230KV (BRUNNERI 230 KV BRU-WHE)
ALLENIM 138 KV  ALL-LOG,ALLENIM_138 KV_ALL-LOG:ACTUAL,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG)
CHERITON_69KVCHE-EAST_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
TANNERSC-DEARBORN1 TIE A 345 KV,,
PLUM    138 KV  PLU-UNI,PLUM_138 KV_PLU-UNI:ACTUAL,PLUM 138KV - UNIVERSA 138KV (PLUM 138 KV PLU-UNI)
BEAV DUQ138 KV  BEA-CRE8,,BEAV DUQ 138KV - CRES DUQ 138KV (BEAV DUQ 138 KV BEA-CRE8)
REMNTNCT230 KV  TXG1,NMESHOPP_230 KV_4 TX:ACTUAL,
EASTGATE 138 KV EASTGATE-LUXOR KF-LU,,LUXOR 138KV - EASTGATE 138KV (EASTGATE 138 KV EAS-LUX)
TRMBL_LG345 KV  TRI-CLI1,BOXWOOD_138 KV_BOX-CLI1:Actual,
MACKEYS 230 KV  GSU,MACKEYS_230 KV_GSU:ACTUAL,MUSKING2 138KV MR1  GSU
WEST CONTINGENCY 55,,WEST contingency 55
AHOSKIE -TUNIS    136B      A  115 KV,,TUNIS 115KV - AHOSKIE 115KV (AHOSKIE 115 KV 136B)
EDGEWOOD 115 KV EDGEWOOD-SHELOCTA LSH 1036,,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE)
HUNTERST115 KV  HUN-LNJ,,
DOUBS   500 KV  DOU-GOO,,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO)
SAPONY  230 KV  TX2,,SAPONY 230KV - SAPONY 35KV (SAPONY 230 KV TX2)
SAPONY  230 KV  TX2,,SAPONY 35KV - SAPONY 230KV (SAPONY 230 KV TX2)
CODOVER 138 KV  COD-WNE1,CODOVER_138 KV_COD-WNE1:ACTUAL,WNEWPHIL 138KV - CODOVER 138KV (CODOVER 138 KV COD-WNE1)
LINCOLN369 KV   LIN-SMIL,,SMILLVIL 69KV - LINCOLN3 69KV (LINCOLN3 69 KV LIN-SMIL)
CASHCNDP230 KV 2135B,,CASHCNDP 230KV - HOLLYMD 230KV (CASHCNDP 230 KV 2135B)
NPHILADE 230 KV NPHILADE-WANEETA 220-49,,WANEETA 230KV - NPHILADE 230KV (NPHILADE 230 KV NPH-WAN)
LAUREL 69 KV LAUREL-WOODSTOW 0740,LAUREL_69 KV_LAU-WOO:L69.Monroe-Vineland.0711,
SHERMAN 69 KV SHERMAN-VINELAND,,VINELAND 69KV - SHERMAN 69KV (SHERMAN 69 KV SHE-VIN)
CEDARSUB230 KV  CED-CEDF,CEDARSUB_230 KV_CED-CEDF:Bergen.CC1,
BEAR CRK69 KV   XFMR,ALTOONA_230 KV_T2:L230.Altoona-Bear Rock,
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
GRANDPT 138 KV GRANDPOI-LETTERKE GRP-RX/R,,GRANDPT 138KV - LETTERKE 138KV (GRANDPT 138 KV GRA-LET)
KERRDAM 115 KV  1019A,KERRDAM_115 KV_1019A:ACTUAL,
HIGHRIDG-SANDYSPR 2334 A 230 KV,,SANDYSPG 230KV - HIGHRIDG 230KV (HIGHRIDG 230 KV HIG-SAN3)
BECO    230 KV  BEC-PARA,,PARAGNPK 230KV - BECO 230KV (BECO 230 KV BEC-PARA)
EVRGREEN230 KV  EVR-YARD,,EVRGREEN 230KV - YARDRIDG 230KV (EVRGREEN 230 KV EVR-YARD)
DUPSEAFD_69KVDUP-LAU_1_LN,,DUPSEAFD 69KV - LAURELDP 69KV (DUPSEAFD 69 KV DUP-LAU)
ALABAMA 230 KV  1T,ALABAMA_230 KV_1T:ACTUAL,LINCOJCT-LINCOLN 963-1T     A  115 KV
14405_138KV144054_1_LN,,
BED-BLA CONTINGENCY 71,BED-BLA contingency 45 MtStorm.U2,BED-BLA contingency 71
COLLINSF 138 KV COLLINSF-OSAGE,COLLINSF_138 KV_COL-OSA:L500.Hatfield-Ronco,
LAFAYETTECAT - LAFAYETTE 138 KV L/O WESTWOOD - WEST LAFAYETTE 138KV,,SHADELND 138KV - LAFAYSOU 138KV (LAFAYSOU 138 KV LAF-SHA)
85_SKOKI_138KV88093_1_LN,,
STAFFORD 230 KV 2104B,,CRANESCR 230KV - STAFFORD 230KV (STAFFORD 230 KV 2104B)
FEAGANSM_138KVFEA-STO_1_LN,,STONEWAL 138KV - FEAGANSM 138KV (FEAGANSM 138 KV FEA-STO)
FIFTHAVE138 KV  FIF-HES1,FIFTHAVE_138 KV_FIF-HES1:ACTUAL,
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,,ROXBURY 115 KV  ROX-SHA
PLYMOUTH_230KVPLY-WHI3_1_LN,,PLYMOUTH-WHITPAIN 220-14    B  230 KV
BOXWOOD 138 KV  BOX-REU1,BOXWOOD_138 KV_BOX-REU1:ACTUAL,REUSENS 138KV - BOXWOOD 138KV (BOXWOOD 138 KV BOX-REU1)
KANAWHAR 138 KV KANAWHAR-KINCAIDA,,KANAWHAR 138KV - KINCAIDA 138KV (KANAWHAR 138 KV KAN-KIN1)
HOMERCIT 230 KV HOMERCIT-SHELOCTA KHC 2014,,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE)
GLENDON_115KVGLE-HOS_1_LN,,HOSENSME 115KV - GLENDON 115KV (GLENDON 115 KV GLE-HOS)
BERYL   138 KV  BER-CRS,BERYL_138 KV_BER-CRS:ACTUAL,
HEATERS 138 KV HEATERS-SUTTON 52,,HEATERS 138KV - SUTTON 138KV (HEATERS 138 KV HEA-SUT)
BULLRUN 230 KV  TX3,BULLRUN_230 KV_TX3:ACTUAL,
TARBORO5115 KV  55B1,TARBORO5_115 KV_55B1:ACTUAL,MORSBGDP 115KV - TARBORO5 115KV (TARBORO5 115 KV 55B1)
SHADEGAP115 KV SHA-THR,,SHADEGAP115 KV  SHA-THR
ROCKTONM 115 KV ROCKTONM-SHAWVILL SD 1076,,SHAWVILL 115KV - ROCKTONM 115KV (ROCKTONM 115 KV ROC-SHA)
BLOOMSBU69 KV   BLO-COL2,,BLOOMSBU69 KV   BLO-COL2
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS)
EDINBUR4138 KV  TX4,,EDINBUR4 115KV - EDINBUR4 138KV (EDINBUR4 138 KV TX4)
CENTECIN69 KV   CEN-RIC,,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1)
HUNTERST115 KV  HUN-OXF,HUNTINGT_138 KV_HUN-HUN1:ACTUAL,HUNTERST 115KV - RILEY 115KV (HUNTERST 115 KV HUN-RILE)
BULLRUN 230 KV  295C,BULLRUN_230 KV_295C:L500.Clifton-Mosby.559A,ELKLCKDP 230KV - BULLRUN 230KV (BULLRUN 230 KV 295C)
BELFAST 115 KV BELFAST-NORTHWOO 951,,BELFAST 115 KV  BEL-NOR
BRAMBLET500 KV  TX1,,
MARDELA-VIENNA 6708-1 A 69 KV,,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE)
MIAMIFOR138 KV MIA-HEB,,MIAMIFOR 138KV - HEBRON1 138KV (MIAMIFOR 138 KV MIA-HEB)
OX4 500 KV OX4 TX2 XFORMER,,OX4 500KV - OX4 230KV (OX4 500 KV TX2)
AQUASCO 230 KV AQUASCO -CHALKPT AQU-CHA1,,CHALKPT 230KV - AQUASCO 230KV (AQUASCO 230 KV AQU-CHA1)
MARDELA_69KVMAR-VIE_1_LN,,
BLACKLIC138 KV  BLA-GAH1,,GAHANNA 138KV - BLACKLIC 138KV (BLACKLIC 138 KV BLA-GAH1)
ERIEW 115 KV ERIEW-FAIRVIEW EWFE 998,,ERIEW 115KV - FAIRVIEW 115KV (ERIEW 115 KV ERI-FAI)
ETOWANDA_230KVETO-HIL_1_LN,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
KENOVA  138 KV  KEN-SPO1,KENOVA_138 KV_KEN-TRI1:Actual,KENOVA 138KV - SPOINT 138KV (KENOVA 138 KV KEN-SPO1)
GERMANTO_115KVGER-STR_1_LN,,STRABAN 115KV - GERMANTO 115KV (GERMANTO 115 KV GER-STR)
SKIMMER 115 KV SKIMMER 2 XFORMER,,CLOVERD2 . 10     XFORMER   H  765 KV
DICKERSH_230KVDIC-QUI4_1_LN,,DICKERSH 230KV - QUINCEOR 230KV (DICKERSH 230 KV DIC-QUI4)
SUTTON 138 KV SUT-SUT,SUTTON_138 KV_SUT-SUT:ACTUAL,HEATERS 138KV - SUTTON 138KV (HEATERS 138 KV HEA-SUT)
MILLBROO138 KV  MIL-SIN1,,SINKINGS 138KV - HILLSBOR 138KV (HILLSBOR 138 KV HIL-SIN1)
LORETTO_138KVLOR-VIE_1_LN,,
SHELOCTA 230 KV SHELOCTA NO2 XFORMER,,EDGEWATE 138KV - LOYALHAN 138KV (EDGEWATE 138 KV EDG-LOY)
FARMVILL230 KV  TX5,,FRKUNION 115KV - BREMO4 115KV (BREMO4 115 KV BRE-FRKU)
GEORGEWA 138 KV GEORGEWA-KAMMER2,,KAMMER2 138KV - GEORGEWA 138KV (GEORGEWA 138 KV GEO-KAM)
CENTRVIL_138KVCEN-LAK_1_LN,AMOS_138 KV_AMO-LAK:L345.Amos-KanawhaRiver,LKFOREST 138KV - CENTRVIL 138KV (CENTRVIL 138 KV CEN-LAK)
DELA PE 69 KV   DEL-SWA,DELA PE_69 KV_DEL-SWA:ACTUAL,DELA PE 69KV - SWARK 69KV (DELA PE 69 KV DEL-SWA)
BEATTY  138 KV  BEA-WIL1,,BEATTY 138KV - WILSONCS 138KV (BEATTY 138 KV BEA-WIL1)
BOXWOOD 138 KV  BOX-REU1,BOXWOOD_138 KV_BOX-REU1:ACTUAL,
02LORAIN_138KV02L-FOW_1_LN,02LORAIN_138 KV_02L-SL2:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,02LORAIN 138KV - 02FOWLES 138KV (02LORAIN 138 KV 02L-FOW)
SAMSHEAD115 KV  126B,ERIEW_115 KV_ERI-FAI:L230.Forest-Glade,BATTLEBO 115KV - CONSLDSL 115KV (BATTLEBO 115 KV 1001A)
LIMERICK 500 KV LIMERICK LIM 4A-P XFORMER,,LIMERICK230 KV  LIM 4A-S
MACNEW_T115 KV  MAC-WIL,MACNEW_T_115 KV_MAC-WIL:L230.ETowanda-Hillside.2002 [NYISO],MACNEW_T 115KV - WMPOTTER 115KV (MACNEW_T 115 KV MAC-WIL)
DICKERSH230 KV  DIC-DOU2,,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC3)
BEDINGTO 138 KV BEDINGTO-SHEPHERDS BMVI,,BEDINGTO 138KV - SHEPERDS 138KV (BEDINGTO 138 KV BED-SHE)
CARSON4 500 KV CARSON4 TX1H XFORMER,CARSON4_230 KV_238A:ACTUAL,CARSON4 500KV - CARSON4 230KV (CARSON4 500 KV TX1H)
HENRIETA 138 KV HENRIETA-BEAVER BEA-HEN1,BEAVER_345 KV_BEA-DAV1:ACTUAL,BEAVER 138KV - HENRIETA 138KV (HENRIETA 138 KV BEA-HEN1)
RITCHIE 230 KV  RIT-WATE,RITCHIE_230 KV_RIT-WATE:ACTUAL,113 WATE-11106    11106 6   A  138 KV
ERIES_T2_345NO8TX_XF,TRISTATE_345 KV_1:345/138.TriState.T2 (Sctnlz),SHAWVILL 115KV - SHAWVILL 1KV (SHAWVILL 115 KV BNK 1A-S)
CLAYMONT_69KVCLA-NAA_1_LN,,NAAMANS 69KV - CLAYMONT 69KV (CLAYMONT 69 KV CLA-NAA)
114 NORT 138 KV 114 NORT-110 DEVO 11416 1,110 DEVO 138-114 NORT 138,
FRACKVIL_69KVFRA-SHE2_1_LN,FRACKVIL_230 KV_FRA-SIE:L230.E.Palmerton-Harwood + 230/69.Harwood.T6,
REDEYE  138 KV  RED-SMIT,REDEYE_138 KV_RED-SMIT:L765.Cloverdale-JoshuaFalls,SMITHMOU 138KV - REDEYE 138KV (REDEYE 138 KV RED-SMIT)
FACEROCK_T2_1152_XF,AMOS_765 KV_6:AMOS 765-345KV XF #5,
10THST_138KV10T-BUZ6_1_LN,ALABAMA_230 KV_ALA-BUZ6:L230.Oak Grove-Ritchie.23061,
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS)
12 DRESDEN 38TR83 CT L 1 KV,,12 DRESD 345KV - 12 DRESD 1KV (12 DRESD 345 KV TR83CT-P)
MONR AE 230 KV MONR AE-NEWFREED R-2244,,NEWFREED 230KV - MONR AE 230KV (MONR AE 230 KV MON-NEW)
ETOWANDA-NMESHOPP ETL 1057 B 115 KV,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
DUBOIS  115 KV  DUB-HAR,HARBESON_69 KV_HAR-SUS:ACTUAL,DUBOIS 115KV - HARVEYRN 115KV (DUBOIS 115 KV DUB-HAR)
MORGANTO230 KV  T1,,
HOMERCIT345 KV  TR4_N,,HOMERCIT 230KV - HOMERCIT 345KV (HOMERCIT 345 KV TR4_N)
BETHEL-RIVERTON RLU B 138 KV,,RIVERTON 138KV - BETHEL 138KV (BETHEL 138 KV BET-RIVU)
SHENANGO_138KVSHE-CRO2_1_LN,,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO2)
VIENNA_VIE13813710_1_LN,,VIENNA_VIE13813710_1_LN
BEDINGTO 138 KV BEDINGTO-HARMOJCT BEM,BEDINGTO_138 KV_BED-HAR:L500.Bedington-Doubs,
127 MATT 138 KV 127 MATT-6604 6604 2,,6604 138KV - 127 MATT 138KV (127 MATT 138 KV 6604 2)
KELFORD 115 KV  126A,KELFORD_115 KV_126A:L115.SouthJustice-DawsonsCrossRd-BynumsBridge.1015,KELFORD 115KV - EARLEYS 115KV (KELFORD 115 KV 126A)
BURMA_T1_138T1_XF,,BURMA 138KV - BURMA 115KV (BURMA 138 KV T1)
ALABAMA 230 KV ALABAMA-PALMERS 23088,BLUEPLAI 230-PALMERS 230,
WAKRON  138 KV  WAK-BAB1,WAKRON_138 KV_WAK-02B:345/138.Ashtabula.T8,WAKRON  -02BRUSH  WAK-02B   B  138 KV
BEDINGTON - BLACK OAK REACTIVE TRANSFER INTERFACE,Black Oak - Bedington Interface,BED-BLA contingency 18
PANTEGO 115 KV  PAN-TERR,PANTEGO_115 KV_PAN-TERR:ACTUAL,TERRA 115KV - PANTEGO 115KV (PANTEGO 115 KV PAN-TERR)
ASHTABUL138 KV  ASH-04S1,,ASHTABUL 138KV - SANBORN 138KV (ASHTABUL 138 KV ASH-04S4)
BETHEL-RIVERTON RLU B 138 KV,,RIVERTON 138KV - BETHEL 138KV (BETHEL 138 KV BET-RIVU)
BROADFO2138 KV  BRO-SAL1,BROADFO2_765 KV_BRO-JAC1:ACTUAL,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL1)
BARRCKRD_230KV233B1_1_LN,,
NAGELAEP_138KVNAG-WKI1_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
EDINBUR4_138KVEDI-STR_1_LN,,EDINBUR4 138KV - STRASBUR 138KV (EDINBUR4 138 KV EDI-STR)
HILLSBOR138 KV  HIL-SIN1,,WOOTEN 161KV - HAZARD 161KV (HAZARD 161 KV HAZ-WOO)
TILTONS2 138 KV TILTONSVILLE-WINDSOR APS,,TILTONS2 138KV - WIND APS 138KV (TILTONS2 138 KV TIL-WIN)
SMITHST_115KVSMI-ZIO_1_LN,,ZIONSVIE 115KV - SMITHST 115KV (SMITHST 115 KV SMI-ZIO)
LINCOLN_115KVLIN-RILE_1_LN,LINCOLN_115 KV_LIN-STR:500/35.MtStorm.RSS6+U1-3 (RSS2.OOS Sctnlz F),
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A)
NEWCOMER138 KV  NEW-SCO,,BELMONT 138 KV  BEL-MID
JUNIATA_T4_5002_XF,,
GUARDIAN138 KV  GUA-TWI1,DUMONT2_345 KV_DUM-TWI1:ACTUAL,
OTTERRIV_115KV31A_1_LN,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID)
LINCOLN 115 KV  LIN-ORRT,LINWOOD2_138 KV_LIN-MAK:ACTUAL,ORRTANNA 115KV - LINCOLN 115KV (LINCOLN 115 KV LIN-ORRT)
COPPERST230 KV  COP-HUM,HUMMELCR_138 KV_HUM-GRE1:ACTUAL,COPPERST 230KV - HUMMELST 230KV (COPPERST 230 KV COP-HUM)
BLACKOAK_138KVBLA-JUN_1_LN,,BLACKOAK 138KV - JUNCTION 138KV (BLACKOAK 138 KV BLA-JUN)
FRDRKSBG230 KV  2083A,,FRDRKSBG 230KV - BIRCHWD 230KV (FRDRKSBG 230 KV 2083A)
SANDHIL2_138KVSAN-WAY_1_LN,,SANDHIL2 138KV - WAYMAN 138KV (SANDHIL2 138 KV SAN-WAY)
MADDOXCR_345KVMAD-RPM_1_LN,,RPMONE 345KV - MADDOXCR 345KV (MADDOXCR 345 KV MAD-RPM)
WOLFHILL_138KVWOL-CON1_1_LN,,
COOPER 115 KV COOPER-SEWARD HT 1069,COOPER_115 KV_COO-SEW:ACTUAL,SEWARD 115KV - COOPER 115KV (COOPER 115 KV COO-SEW)
BAYS 138 KV BAY-WOL,BAYS_138 KV_BAY-WOL:ACTUAL,BAYS 138KV - WOLFRUN 138KV (BAYS 138 KV BAY-WOL)
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL)
DUBOIS  115 KV  DUB-ROC,DUBOIS_115 KV_DUB-ROC:ACTUAL,
LEGENDT 138 KV  LEG-TORR,,TORREY 138KV - LEGENDT 138KV (LEGENDT 138 KV LEG-TORR)
DUBOIS  115 KV  DUB-ROC,DUBOIS_115 KV_DUB-ROC:ACTUAL,ROCKTONM 115KV - DUBOIS 115KV (DUBOIS 115 KV DUB-ROC)
FRANKLI2138 KV  FRA-THO1,FIELDALE_138 KV_FIE-THO1:L500.MtStorm-Valley.550,THORNTON 138KV - FRANKLI2 138KV (FRANKLI2 138 KV FRA-THO1)
MALISZEW_138KVMAL-GEN1_1_LN,,MALISZEW 138KV - GENOA 138KV (MALISZEW 138 KV MAL-GEN1)
DOOMS4 500 KV DOOMS4 TX9 XFORMER,,DOOMS4   TX9      XFORMER   H  500 KV
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2)
ALTAVSTA 138 KV ALTAVSTA TX3 XFORMER,,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX3)
HEBRON 69 KV HEBRON-MARDELA 6708-2,,MARDELA 69KV - HEBRON 69KV (HEBRON 69 KV HEB-MAR)
ROCKWOOD_115KVROC-SOM_1_LN,,SOME PN 115KV - ROCKWOOD 115KV (ROCKWOOD 115 KV ROC-SOM)
JUNIATA 2 XFORMER H 500 KV,,HUNTERST 4 BANK   XFORMER   H  230 KV
BOONETWN_230KVBOO-SRE_1_LN,,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE)
REMNTNCT230 KV  TX9,,REMINGTN 115KV - REMNTNCT 115KV (REMINGTN 115 KV 6A)
CEDARCRE230 KV  CED-SIL,,CEDARCRE230 KV  CED-RED
0901 138 KV 0901 LINE 38L0901 2,,
GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:ACTUAL,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM)
50045005 55,,PLYMOUTH 230KV - UPPERMER 230KV (PLYMOUTH 230 KV PLY-UPP)
LEONKP 69 KV LEO-LEO1,LEONKP_69 KV_LEO-LEO1:ACTUAL,LEONIA  230 KV  LEO-NEW
1607 138 KV 1607 5,,282 ZION 138KV - 16 WAUKE 138KV (16 WAUKE 138 KV 1609)
BEAUMEAD230 KV  BEA-BUTR,,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3)
BLACKWAL230 KV  BLA-EDMO,BLAIRSVE_138 KV_BLA-SOC:345/138.Ashtabula.TR4,BLACKWAL 230KV - EDMONSON 230KV (BLACKWAL 230 KV BLA-EDMO)
20 BRAID 345 KV 20 BRAID-66 E FRN 2001,,20 BRAID 345KV - 66 E FRN 345KV (20 BRAID 345 KV 2001)
143 WOLF138 KV BT1-2 CB,,143 WOLF 345KV - 143 WOLF 1KV (143 WOLF 345 KV TR81CT-P)
HAYNIE 115 KV HAY-PIN,HAYNIE_115 KV_HAY-PIN:ACTUAL,PINEY 115KV - HAYNIE 115KV (HAYNIE 115 KV HAY-PIN)
HARRCOEK138 KV  HAR-RENA,HARRCOEK_138 KV_HAR-RENA:ACTUAL,
MERIDIAN345 KV  MER-TWI1,,DUMONT2 345KV - TWINBRAN 345KV (DUMONT2 345 KV DUM-TWI1)
DESOTO  345 KV  .  1,,
ELIMA_138KVELI-HAV1_1_LN,,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1)
EDMONSON230 KV  EDM-SEDG,EDMONSON_230 KV_EDM-SEDG:L500.BrunswickSwitchingStationHeritage-Wake.570,EDMONSON 230KV - SEDGEHIL 230KV (EDMONSON 230 KV EDM-SEDG)
KERR45 115 KV KERR45 -KERRDAM 45A,KERR45_115 KV_45A:193 LINE: KERRDAM-BUGGSISL,KERR45 115KV - KERRDAM 115KV (KERR45 115 KV 45A)
MAHANSLA 138 KV MAHANS LANE-TIDD,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID)
BIGPINET_138KVBIG-KIS_1_LN,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
STURGIS 69 KV STURGIS-HOWE TIE,,HOWE 69KV - STURGIS 69KV (STURGIS 69 KV STU-HOW1)
GLASGOW_138KVGLA-KEE_1_LN,,KEENEY 138KV - GLASGOW 138KV (GLASGOW 138 KV GLA-KEE)
BRUNOTIS_138KVBRU-FOR_1_LN,,BRUNOTIS 138KV - FORBES 138KV (BRUNOTIS 138 KV BRU-FOR)
MONEL 138 KV MON-REU1,MONEL_138 KV_MON-REU1:ACTUAL,MONEL 138KV - REUSENS 138KV (MONEL 138 KV MON-REU1)
KENOVA 138 KV KENOVA-TRISTATE,KENOVA_138 KV_KEN-TRI1:L765.Baker-Hanging Rock,
GARRETAP-GARRETT B 115 KV,,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR)
CARTANZA230 KV  CAR-MIL,,CARTANZA230 KV  CAR-RED
BIGPINET_138KVBIG-GAR_1_LN,,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR)
ERIEW 115 KV ERIEW-FAIRVIEW EWFE 998,,ERIEW 115KV - FAIRVIEW 115KV (ERIEW 115 KV ERI-FAI)
