market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
2417,10016691564,LADYSMCT230 KV  LAD-SUMM,,low,0.495714,True,LADYSMCT 230KV - SUMMITDP 230KV (LADYSMCT 230 KV LAD-SUMM),medium,0.7375,True
2418,10019086900,HINCHMAN_230KVHIN-JAC_1_LN,,low,0.361364,True,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC),low,0.51125,True
2419,10017074191,THELMA  138 KV  THE-BUS1,THELMA_138 KV_THE-BUS1:L765.Culloden-Wyoming,low,0.621429,True,BUSSEYVI 138KV - THELMA 138KV (THELMA 138 KV THE-BUS1),medium,0.821667,False
2420,10000566612,LORETTO 138 KV LORETTO-PINEYGRO 13777,LORETTO_138 KV_LOR-PIN:ACTUAL,low,0.6975,True,LORETTO 138KV - PINEYGRO 138KV (LORETTO 138 KV LOR-PIN),high,0.937821,False
2421,10015845507,LOWMOOR 138 KV  TX1A,LOWMOOR_138 KV_TX1A:ACTUAL,medium,0.77,False,LOWMOOR 138KV - LOWMOOR 13KV (LOWMOOR 138 KV TX1A),low,0.508333,True
2422,10018574125,MTEAGLE 230 KV  2028A,MTEAGLE_230 KV_2028A:L500.Midlothian-NorthAnna.576,low,0.621429,True,MTEAGLE 230KV - CHARLTSV 230KV (MTEAGLE 230 KV 2028A),medium,0.816667,False
2423,10016240939,ALLENIM 138 KV  ALL-LOG,ALLENIM_138 KV_ALL-LOG:ACTUAL,medium,0.767143,False,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG),high,0.86369,False
2424,10000565941,IRONWOOD 230 KV IRONWOOD-SLEBANON,IRONWOOD_230 KV_IRO-SLE:ACTUAL,low,0.663333,True,IRONWOOD 230KV - SLEBANON 230KV (IRONWOOD 230 KV IRO-SLE),low,0.581795,True
2425,10002905261,CRANBERY138 KV  CRA-HOY,CRANBERY_138 KV_CRA-HOY:ACTUAL,low,0.596429,True,CRANBERY138 KV  CRA-HOY,low,0.6675,True
2426,10003623322,11 FISK 38TR71 12 H 138 KV,11 FISK_138 KV_TR71 12:ACTUAL,low,0.561429,True,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR71 12),medium,0.760714,False
2427,10000569282,MARQUIS2 345 KV MARQUIS2-DOEX530 TIE,MARQUIS2_345 KV_MAR-DOE2:ACTUAL,low,0.586154,True,DOEX530 345KV - MARQUIS2 345KV (MARQUIS2 345 KV MAR-DOE2),medium,0.843449,False
2428,10004197510,12 DRESD138 KV  1210 1,,low,0.216667,True,12 DRESD138 KV  1205 1,low,0.641667,True
2429,10000466270,SHELOCTA 230 KV SHELOCTA NO2 XFORMER,SHELOCTA_230 KV_NO2:ACTUAL,low,0.565873,True,SHELOCTA 230KV - SHELOCTA 115KV (SHELOCTA 230 KV NO2),medium,0.741667,True
2430,10018869845,FUDGEHO4138 KV  14A,,low,0.265714,True,FUDGEHO4 138KV - KANAWTRL 138KV (FUDGEHO4 138 KV 14A),low,0.5,True
2431,10019093139,BLAIRSVE_138KVBLA-SOC_1_LN,,low,0.391667,True,,low,0.218182,True
2432,10000565483,CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:500/230.Juniata.T2,medium,0.812338,True,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,0.94615,False
2433,10000566833,CHERRYRN 138 KV CHERRYRN-MORGAN WC2,CHERRYRN_138 KV_CHE-MOR:ACTUAL,low,0.586154,True,MORGAN 138KV - CHERRYRN 138KV (CHERRYRN 138 KV CHE-MOR),high,0.856911,False
2434,10000566797,BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,low,0.603333,True,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),high,0.850317,False
2435,10000565483,CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:500/230.Juniata.T2,medium,0.817832,True,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,0.948615,False
2436,10015854664,HAYES_FE138 KV  AVE-HAYE,HAYES_FE_138 KV_AVE-HAYE:ACTUAL,low,0.633333,True,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE),medium,0.7875,False
2437,10017113982,TANNER - JASPER 138 KV L/O W FRANKFORT - MT VERNON 345 KV,,low,0.46,True,W Frankfort W Frankfort E 138kV l/o West Frankfort E Mt Vernon 345kV,medium,0.764583,False
2438,10016048387,BLOOMSBU69 KV   BLO-COL2,,low,0.273718,True,BLOOMSBU69 KV   BLO-COL2,low,0.666071,True
2439,10002559288,CONEMAUG500 KV TX3,,low,0.435,True,CONEMAUG500 KV  TX3,medium,0.755,False
2440,10017320369,ESIDELIM138 KV  ESI-GOME,ESIDELIM_138 KV_ESI-GOME:L765.Marysville-Sorenson,low,0.522222,True,ESIDELIM138 KV  ESI-NDE1,medium,0.816667,False
2441,10000566760,BLACKOAK 138 KV BLACKOAK-JUNCTION JBO,BLACKOAK_138 KV_BLA-JUN:ACTUAL,low,0.59,True,BLACKOAK 138KV - JUNCTION 138KV (BLACKOAK 138 KV BLA-JUN),high,0.855734,True
2442,10000566631,NELSON 138 KV NELSON-VIENNA 13707,NELSON_138 KV_NEL-VIE:L138.Loretto-Vienna.13780,medium,0.77,False,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE),high,0.937821,False
2443,10000570434,IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,IDYLWOO4_230 KV_202A:L230.EvergreenMills-YarleyRidge.2209,low,0.522222,True,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A),high,0.850357,False
2444,10002875988,MEADOWBR-STRASBUR MST A 138 KV,,low,0.440769,True,MEADOWBR-STRASBUR MST       A  138 KV,medium,0.820769,True
2445,10000567420,127 MATT 138 KV 127 MATT-6604 6604 2,127 MATT_138 KV_6603 2:ACTUAL,low,0.5,True,6604 138KV - 127 MATT 138KV (127 MATT 138 KV 6604 2),medium,0.745238,True
2446,10016447630,TRISTATE138 KV  TRI-CHA2,TRISTATE_138 KV_TRI-CHA2:ACTUAL,low,0.581429,True,TRISTATE 138KV - CHADWICK 138KV (TRISTATE 138 KV TRI-CHA2),medium,0.761111,False
2447,10000565959,MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,MIDDLJCT_115 KV_MID-YOR8:ACTUAL,low,0.629487,True,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR8),high,0.887778,False
2448,10018408711,ASPENSLR115 KV  ASP-ROXB,ASPENSLR_115 KV_ASP-ROXB:ACTUAL,low,0.561429,True,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB),medium,0.737987,True
2449,10002236350,BETHEL-RIVERTON RLU B 138 KV,BETHEL_138 KV_BET-RIVU:L500.Cloverdale-Lexington.566,low,0.59026,True,BETHEL 138KV - RIVERTON 138KV (BETHEL 138 KV BET-RIVU),high,0.889464,False
2450,10000566891,EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,EDGEWATE_138 KV_EDG-VAS:ACTUAL,low,0.550699,True,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS),medium,0.823214,False
2451,10000466699,YUKON 500 KV YUKON TRAN 3 XFORMER,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.627778,True,YUKON    TRAN  2  XFORMER   H  500 KV,high,0.921868,True
2452,10000572366,RICHLND 138 KV RICHLND-NAOMIJUN,,low,0.432222,True,RICHLND-NAOMIJUN            A  138 KV,high,0.98,True
2453,10000568465,BROADFO2 138 KV BROADFO2-SALTVILL 2,BROADFO2_138 KV_BRO-SAL2:ACTUAL,low,0.663333,True,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL2),low,0.578269,True
2454,10016737097,NELSON 345/138 TR82 L/O BYRON-LEE COUNTY 345 KV,6 BYRON_345 KV_621:345L15501 Nelson-Lee County 345 kV Line SPOG 1-3-H,low,0.603333,True,124 Maryland-11902 138 l/o Byron-Lee County 345 kV,medium,0.817273,False
2455,10002910353,BEAUMEAD-ASHBURN 274C B 230 KV,BEAUMEAD_230 KV_274C:ACTUAL,low,0.561429,True,ASHBURN 230KV - BEAUMEAD 230KV (BEAUMEAD 230 KV 274C),high,0.86369,False
2456,10004213686,SCANTON2138 KV  SCA-APP1,,low,0.472222,True,SCANTON2138 KV  SCA-STI1,low,0.587363,True
2457,10000466699,YUKON 500 KV YUKON TRAN 3 XFORMER,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.658333,True,YUKON   500 KV  TRAN  3,high,0.891944,True
2458,10000566882,EASTGATE 138 KV EASTGATE-LUXOR KF-LU,EASTGATE_138 KV_EAS-LUX:L138.YoungWood-Yukon,low,0.525,True,EASTGATE 138KV - LUXOR 138KV (EASTGATE 138 KV EAS-LUX),medium,0.822222,False
2459,10019103692,MIDDLETO_138KVMID-MTP_1_LN,,low,0.361364,True,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP),low,0.533333,True
2460,10016743843,BROADFO2-SALTVILL 1         A  138 KV,,low,0.388889,True,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL2),medium,0.770604,True
2461,10019000932,CHR138_138KVCHR-NEW_1_LN,,low,0.391667,True,,low,0.218182,True
2462,10017128835,BURKE   230 KV  270A,BURKE_230 KV_270A:L500.Morrisville-Spotsylvania.594,low,0.621429,True,SIDEBURN 230KV - BURKE 230KV (BURKE 230 KV 270A),medium,0.816667,False
2463,10017079796,RIVERRD 115 KV  86D,RIVERRD_115 KV_86D:L500 Chickahominy-Elmont.557A(Sctnlz),low,0.538889,True,RIVERRD 115KV - NWEST 115KV (RIVERRD 115 KV 86D),medium,0.815972,False
2464,10016990897,APSOUTH CONTINGENCY 73,,low,0.477778,True,APSOUTH contingency 73,medium,0.816667,False
2465,10002734745,TITUSVIL115 KV TIT-UNI,TITUSVIL_115 KV_TIT-UNI:ACTUAL,low,0.561429,True,TITUSVIL115 KV  TIT-UNI,medium,0.789697,False
2466,10000566621,MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO_138 KV_MID-MTP:ACTUAL,low,0.633333,True,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP),high,0.892212,False
2467,10000467063,66 E FRN 345 KV 66 E FRN TR83CT-P XFORMER,66 E FRN_345 KV_TR83CT-P:ACTUAL,low,0.67987,True,66 E FRN 345KV - 66 E FRN 1KV (66 E FRN 345 KV TR83CT-P),medium,0.81746,False
2468,10000566694,ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:ACTUAL,low,0.586154,True,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),medium,0.849218,False
2469,10002915154,08LAPLJT138 KV  08L-SAN1,08LAPLJT_138 KV_08L-SAN1:ACTUAL,low,0.561429,True,08LAPLJT 138KV - SANDERSO 138KV (08LAPLJT 138 KV 08L-SAN1),medium,0.725,True
2470,10016737222,7713 -981 CRESENT 138 KV FOR LOSS OF POWERTON-TOULON 0321 138 KV,,low,0.412821,True,7713 -981 Cresent 138 kV for loss of Powerton-Toulon 0321 138 kV,high,0.95,False
2471,10016894148,BRUNSWIC230 KV  BRU-MEA,BRUNSWIC_230 KV_BRU-MEA:ACTUAL,low,0.561429,True,BRUNSWIC 230KV - MEADOWRD 230KV (BRUNSWIC 230 KV BRU-MEA),medium,0.737987,True
2472,10017087990,FTSLOCUM69 KV   190-6R,,low,0.476667,True,FTSLOCUM69 KV   190-6R,low,0.658333,True
2473,10003951261,12THST  69 KV   12T-FTS,12THST_69 KV_12T-FTS:ACTUAL,medium,0.767143,False,FTSLOCUM 69KV - 12THST 69KV (12THST 69 KV 12T-FTS),high,0.855357,False
2474,10000797043,NRTHNECK 230 KV NRTHNECK TX6 XFORMER,NRTHNECK_230 KV_TX6:ACTUAL,low,0.561429,True,NRTHNECK 115KV - NRTHNECK 230KV (NRTHNECK 230 KV TX6),low,0.589286,True
2475,10016737049,08OAKLEY138 KV  08O-RED1,08OAKLEY_138 KV_08O-RED1:ACTUAL,low,0.596429,True,,low,0.411667,True
2476,10000566694,ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:ACTUAL,low,0.586154,True,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),medium,0.849218,False
2477,10000566079,ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,ETOWANDA_230 KV_ETO-HIL:ACTUAL,low,0.612727,True,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),low,0.543939,True
2478,10015879532,LINWOOD2138 KV  LIN-ROS1,,low,0.411429,True,LINWOOD2 138KV - ROSEHILL 138KV (LINWOOD2 138 KV LIN-ROS1),low,0.585714,True
2479,10000566621,MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO_138 KV_MID-MTP:ACTUAL,low,0.663333,True,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP),low,0.582436,True
2480,10002899584,CAMDEN  230 KV  CAM-GLOY,CAMDEN_230 KV_CAM-GLOY:ACTUAL,medium,0.807143,False,CAMDEN-GLOUCEST CAM-GLOY    B  230 KV,low,0.602381,True
2481,10019004382,ERDMAN_115KVERD-PHI5_1_LN,,low,0.391667,True,,low,0.218182,True
2482,10002168620,TRENTON2 138 KV TRENTON2-HUSTON 3281,TRENTON2_138 KV_HUS-TRE:ACTUAL,low,0.633333,True,HUSTON 138KV - TRENTON2 138KV (TRENTON2 138 KV HUS-TRE),high,0.890114,False
2483,10000685609,CHESWICK 138 KV CHESWICK-LOGANSFE CHE-LF53,CHESWICK_138 KV_CHE-LF53:138.Cheswick-Logans Ferry.Z-52,low,0.59026,True,CHESWICK-LOGANSFE CHE-LF53  B  138 KV,high,0.93303,True
2484,10018717169,GRAPEVIN230 KV  GRA-MTEA,GRAPEVIN_230 KV_GRA-MTEA:L500.Midlothian-NorthAnna.576,low,0.522222,True,GRAPEVIN 230KV - MTEAGLE 230KV (GRAPEVIN 230 KV GRA-MTEA),medium,0.737987,True
2485,10016456396,SHELBYCO69 KV   SHE-SHLC,SHELBYCO_69 KV_SHE-SHLC:ACTUAL,low,0.596429,True,,low,0.42,True
2486,10002544977,WEFOSTOR138 KV WEF-02W1,,low,0.168182,True,WEFOSTOR138 KV  WEF-02W1,high,0.975,False
2487,10017291186,MTNEBO  69 KV   FAC-MTNB,MTNEBO_69 KV_FAC-MTNB:ACTUAL,medium,0.77381,True,FACEROCK 69KV - MTNEBO 69KV (MTNEBO 69 KV FAC-MTNB),high,0.8625,False
2488,10004177767,SHAWVILL115 KV  BNK 1A-S,SHAWVILL_115 KV_BNK 1A-S:ACTUAL,low,0.62619,True,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S),medium,0.782222,False
2489,10000466255,SEWARD 230 KV SEWARD 230 KV T11 XFORMER,SEWARD_230 KV_T11:ACTUAL,low,0.633333,True,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV T11),medium,0.77684,True
2490,10016743806,JACKSONVILLE NORTH-JACKSONVILLE INDUSTRIAL 138 KV L/O BLUEMOUND-PONTIAC 345 KV,,low,0.326154,True,,low,0.479915,True
2491,10000468554,OX4 500 KV OX4 TX2 XFORMER,OX4_500 KV_TX2:L500.BurchesHill-PossumPoint.560,low,0.565909,True,OX4 500KV - OX4 230KV (OX4 500 KV TX2),medium,0.765604,False
2492,10016006397,DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,medium,0.767143,False,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2),high,0.855357,False
2493,10000569977,CHESTER4 115 KV CHESTER4-TURNER4 92A,CHESTER4_115 KV_92A:ACTUAL,low,0.596429,True,CHESTER4 115KV - TURNER4 115KV (CHESTER4 115 KV 92A),low,0.5375,True
2494,10001780777,THELMA 69 KV THE-THE1,THELMA_69 KV_THE-THE1:ACTUAL,medium,0.71,True,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1),medium,0.821023,False
2495,10016023276,BOONETWN230 KV  BOO-SRE,BOONETWN_230 KV_BOO-SRE:ACTUAL,low,0.561429,True,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE),medium,0.737987,True
2496,10004187721,DOUBS   500 KV  DOU-GOO,DOUBS_500 KV_DOU-GOO:L500.Bristers-Ox.539,low,0.683333,True,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO),high,0.86369,False
2497,10004206227,ALLENIM 138 KV  ALL-TIL,ALLENIM_138 KV_ALL-TIL:ACTUAL,medium,0.767143,False,ALLENIM 138KV - TILLMAN 138KV (ALLENIM 138 KV ALL-TIL),high,0.86369,False
2498,10000544459,POSSUMP4 230 KV POSSUMP4 2078Z SER DEV,,low,0.486923,True,POSSUMP4 2078Z    SER DEV   A  230 KV,medium,0.720833,True
2499,10000570710,MTSTORM4 500 KV MTSTORM4-VALLEY4 550A,MTSTORM4_500 KV_550A:ACTUAL,low,0.561429,True,MTSTORM4 500KV - VALLEY4 500KV (MTSTORM4 500 KV 550A),high,0.850357,False
2500,10000566799,BUTL APS 138 KV BUTL APS-SHANORMA KND-BT,BUTL APS_138 KV_BUT-SHA:ACTUAL,low,0.621429,True,BUTL APS 138KV - SHANORMA 138KV (BUTL APS 138 KV BUT-SHA),low,0.54084,True
2501,10004187721,DOUBS   500 KV  DOU-GOO,DOUBS_500 KV_DOU-GOO:L500.Cloverdale-Lexington.566,low,0.683333,True,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO),high,0.86369,False
2502,10000570677,GROTTOES 115 KV GROTTOES-ELKTONDP 119C,GROTTOES_115 KV_119C:ACTUAL,low,0.565873,True,GROTTOES 115KV - ELKTONDP 115KV (GROTTOES 115 KV 119C),high,0.866667,False
2503,10016766665,RAPPAHAN-WHITESTN 65A1      A  115 KV,,low,0.345833,True,RAPPAHAN 115KV - WHITESTN 115KV (RAPPAHAN 115 KV RAP-WHIT),medium,0.7375,True
2504,10002494913,MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,medium,0.731538,True,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE),high,0.935128,False
2505,10017012442,ELIMA   138 KV  ELI-FOR1,ELIMA_138 KV_ELI-FOR1:ACTUAL,medium,0.807143,False,ELIMA 138KV - FORD 138KV (ELIMA 138 KV ELI-FOR1),low,0.5475,True
2506,10000568673,CORNER 138 KV CORNER-DEGUSSA 82,CORNER_138 KV_COR-DEG:765/500.Belmont.T5 (Sectionalized),low,0.606667,True,DEGUSSA 138KV - CORNER 138KV (CORNER 138 KV COR-DEG),high,0.933083,False
2507,10019577036,EDELPHOS_69KVEDE-NDE_1_LN,,low,0.361364,True,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE),low,0.533333,True
2508,10016741642,STILLWELL - LNG 138 KV L/O OLIVE XF 345/138,,low,0.397436,True,Michigan City-Bosserman 138 kV l/o Olive 345 XFMR 2,low,0.636713,True
2509,10019221990,CHESTNT_115KV1024A_1_LN,,low,0.238889,True,,low,0.459341,True
2510,10016855279,LACLEDE STEEL NORTH TAP - GILESPIE 138 L/O PRAIRST - WMTVERNON 345,,low,0.143333,True,Laclede Steel North tap - Gilespie 138 l/o PrairSt - WMTVernon 345,medium,0.8,False
2511,10000572183,HOYTDAL2 138 KV HOYTDAL2-MAPLEOE,HOYTDAL2_138 KV_HOY-MAP1:ACTUAL,low,0.633333,True,HOYTDAL2 138KV - MAPLEOE 138KV (HOYTDAL2 138 KV HOY-MAP1),high,0.887083,False
2512,10002885250,PIERC_DK345 KV  BK18,PIERC_DK_345 KV_BK18:ACTUAL,low,0.561429,True,PIERC_DK345 KV  BK18,medium,0.741484,True
2513,10018295697,SUB 71 - SUB 88 161 KV L/0 LOUISA - OAK GROVE 345 KV,,low,0.472222,True,,low,0.498951,True
2514,10019054083,LEESVILL_138KVLEE-SMI1_1_LN,,low,0.361364,True,SMITHMOU 138KV - LEESVILL 138KV (LEESVILL 138 KV LEE-SMI1),low,0.533333,True
2515,10017895319,NPHILOSW138 KV  NPH-ZAN1,NPHILOSW_138 KV_NPH-ZAN1:L138.OhioCentral-Powelson,low,0.522222,True,NPHILOSW 138KV - ZANESVIL 138KV (NPHILOSW 138 KV NPH-ZAN1),medium,0.732937,True
2516,10017045626,JOPPA XF 345/161KV L/O GRAHAMVILLE - JOPPA N3 854 161KV,,low,0.286364,True,JOPPA 345KV - JOPPA 161KV (JOPPA 345 KV XFA),low,0.53,True
2517,10019105850,RINGGOLD_T2_230T4_XF,,low,0.361364,True,,low,0.441071,True
2518,10016031157,BLACKLIC138 KV  BLA-GAH1,BLACKLIC_138 KV_BLA-GAH1:ACTUAL,low,0.565873,True,GAHANNA 138KV - BLACKLIC 138KV (BLACKLIC 138 KV BLA-GAH1),medium,0.733333,True
2519,10016737393,GOODLAND - REYNOLDS 138 KV L/O BUNSONVILLE - EUGENE 345 KV,,low,0.446364,True,Casey-West Sullivan 345 kV l/o Bunsonville-Eugene 345 kV,low,0.576224,True
2520,10016737909,CRESCENT-MTNEBO Z-20        A  138 KV,,low,0.476667,True,CARS DUQ 138KV - CARS DUQ 345KV (CARS DUQ 345 KV T1),low,0.503571,True
2521,10002891957,BERYL   138 KV  BER-CRS,BERYL_138 KV_BER-CRS:ACTUAL,medium,0.767143,False,BERYL 138KV - CROSSSCH 138KV (BERYL 138 KV BER-CRS),high,0.86369,True
2522,10003795058,115 BEDF345 KV  TR82CT-P,13 CRAWF_345 KV_TR82CT-P:ACTUAL,low,0.596429,True,155 NELS345 KV  TR82CT-P,low,0.501515,True
2523,10015885809,ASHTABUL138 KV  ASH-04S1,ASHTABUL_138 KV_ASH-04S1:L345.Ashtabula-Perry,low,0.522222,True,ASHTABUL 138KV - SANBORN 138KV (ASHTABUL 138 KV ASH-04S1),medium,0.732937,True
2524,10000572148,GRIFFIN4 138 KV GRIFFIN4-02PVALEY,GRIFFN_138 KV_GRI-02P2:ACTUAL,low,0.633333,True,PLSNTVLY 138KV - GRIFFN 138KV (GRIFFN 138 KV GRI-02P2),medium,0.7875,False
2525,10016743741,GARDEN PLAIN-15518 138 L/O H471-NELSON 15504 345,,low,0.365,True,Albany-Garden Plain 138 l/o Quad Cities-H471 345,low,0.53125,True
2526,10016737102,NELSON 345/138 TR82 L/O NELSON-ELECTRIC JCT 345,,low,0.415873,True,6101-Hennepin 138 l/o Nelson-Electric Jct 345,medium,0.702857,True
2527,10016894140,143 WOLF TR81CT-S XFORMER   L  1 KV,143 WOLF_345 KV_TR81CT-P:ACTUAL,low,0.508333,True,143 WOLF 345KV - 143 WOLF 1KV (143 WOLF 345 KV TR81CT-P),medium,0.707516,True
2528,10015876470,SPOTSLV 500 KV  TX1,SPOTSLV_500 KV_TX1:L500.Morrisville-Spotsylvania.594,low,0.621429,True,SPOTSLV 500KV - SPOTSLV 115KV (SPOTSLV 500 KV TX1),medium,0.825,False
2529,10019093139,BLAIRSVE_138KVBLA-SOC_1_LN,,low,0.365,True,SOCIALHA 138KV - BLAIRSVE 138KV (BLAIRSVE 138 KV BLA-SOC),low,0.530769,True
2530,10016895524,50045005 58,,low,0.0,True,,low,0.375,True
2531,10016660373,CALVERT 138 KV  CAL-KAN1,CALVERT_138 KV_CAL-KAN1:345/138.Olive.T2,medium,0.7375,True,CALVERT 138KV - KANKAKEE 138KV (CALVERT 138 KV CAL-KAN1),high,0.8625,False
2532,10019069176,AQUAHAR_230KVAQU-GAR1_1_LN,,low,0.391667,True,,low,0.218182,True
2533,10000566608,LAURELDP 69 KV LAURELDP-SHARP 6705-1,LAURELDP_69 KV_LAU-SHA:ACTUAL,low,0.633333,True,SHARP 69KV - LAURELDP 69KV (LAURELDP 69 KV LAU-SHA),high,0.892212,False
2534,10019000935,PRESTON_69KVPRE-TAN_1_LN,,low,0.361364,True,PRESTON 69 KV   PRE-TAN,low,0.595604,True
2535,10004217098,NOTREDAM138 KV  NOT-SBE1,NOTREDAM_138 KV_NOT-SBE1:345/138.Twinbranch.6 & 7,low,0.561429,True,NOTREDAM 138KV - SBENDAEP 138KV (NOTREDAM 138 KV NOT-SBE1),medium,0.732937,True
2536,10019063027,BLANCO_69KVBLA-NEWM_1_LN,,low,0.361364,True,BLANCO 69KV - NEWMERED 69KV (BLANCO 69 KV BLA-NEWM),low,0.533333,True
2537,10000466121,NORTHWOO 230 KV NORTHWOO 6 BANK XFORMER,NORTHWOO_230 KV_6 BANK:ACTUAL,low,0.561429,True,NORTHWOO 6 BANK   XFORMER   H  230 KV,medium,0.805962,False
2538,10018981396,OX4_T1_500TX2_XF,,low,0.358333,True,,low,0.445833,True
2539,10016074878,OST     138 KV  002-5R,OST_138 KV_002-5R:ACTUAL,medium,0.72,True,OST     138 KV  002-5R,high,0.983333,False
2540,10003951045,BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,low,0.557792,True,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),medium,0.7375,True
2541,10018266341,HILL_AEP-NAGELAEP B 138 KV  .L/O  L500.BROADFORD-SULLIVAN(TVA) TIE,HILL_AEP_138 KV_HIL-NAG1:L500.Broadford-Sullivan (TVA) Tie,medium,0.833333,True,NAGELAEP 138KV - HILL_AEP 138KV (HILL_AEP 138 KV HIL-NAG1),low,0.697273,True
2542,10018421048,HAVILAND69 KV   HAV-NVA,HAVILAND_69 KV_HAV-NVA:ACTUAL,low,0.565873,True,HAVILAND 69KV - NVANWERT 69KV (HAVILAND 69 KV HAV-NVA),medium,0.738333,True
2543,10000566128,HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-TOW:ACTUAL,low,0.586154,True,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW),high,0.854813,False
2544,10015743081,TRENTON2138 KV  TRE-COL1,,low,0.411429,True,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1),low,0.585714,True
2545,10019292335,OAKGROVE_230KVOAK-TAL8_1_LN,,low,0.365,True,TALBERT 230KV - OAKGROVE 230KV (OAKGROVE 230 KV OAK-TAL8),low,0.530769,True
2546,10018985852,MAHANSLA_138KVMAH-TID_1_LN,,low,0.391667,True,,low,0.196667,True
2547,10002544977,WEFOSTOR138 KV WEF-02W1,,low,0.17,True,WEFOSTOR138 KV  WEF-02W1,high,0.978571,False
2548,10000566694,ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,low,0.328922,True,ALLDAM6-KITTANNI SP-KT      A  138 KV,medium,0.755411,False
2549,10000567115,PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,PLEASNT_138 KV_STM-PLE:ACTUAL,low,0.692045,True,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE),high,0.935128,False
