market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
74 KEWAN B1Z1 DIS             138 KV,dayzer,74 KEWAN_138 KV_L9430:ACTUAL,low,0.3167,0.3333,0.0,1.0,0.0,0.2929,True
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,pano,SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622),low,0.2786,0.0,1.0,0.0,0.2857,0.2786,True
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,dayzer,DAVNPRT6_161 KV_62211622:L345.Oakgrove-Louisa (MEC),low,0.24,0.4,0.0,0.0,0.4,0.2333,True
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,pano,LTVSteel - Hennepin 138 kV l/o Powerton - Towerline 138 kV,low,0.45,0.6,0.0,1.0,0.0,0.4182,True
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,dayzer,81 TOULO_138 KV_0321X:Sandburg-Fargo 345 kV,low,0.3722,0.4444,0.0,1.0,0.0,0.25,False
12 DRESDEN 45TR81 CT H 345 KV,pano,12 DRESDEN  45TR81 CT       H  345 KV,high,0.7964,1.0,0.2857,1.0,0.75,0.7045,False
12 DRESDEN 45TR81 CT H 345 KV,dayzer,93 LORET_345 KV_11212:12 DRESDEN TR83 R,low,0.3083,0.25,0.0,1.0,0.3333,0.275,True
KINGSTON69 KV   KST-WOR,pano,WOVERDPL 69KV - KINGSTON 69KV (KINGSTON 69 KV KST-WOR),medium,0.4545,0.5,0.0,1.0,0.5455,0.3667,False
KINGSTON69 KV   KST-WOR,dayzer,KINGSTON_69 KV_KST-WOR:ACTUAL,medium,0.4929,0.5714,0.0,1.0,0.5714,0.35,False
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,pano,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,medium,0.5357,0.5714,1.0,0.0,0.0,0.5079,True
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,dayzer,AP SOUTH for l/o Dooms-Valley:L500.Dooms-Valley.549,low,0.161,0.2857,0.0,0.0,0.1818,0.1429,True
WHITESTN 115 KV WHITESTN-HARMONYV 65A,pano,WHITESTN-HARMONYV 65A       B  115 KV,high,0.8952,0.8571,1.0,1.0,0.6667,0.8119,False
WHITESTN 115 KV WHITESTN-HARMONYV 65A,dayzer,CLBHOUSE115 KV 71E Belmont-Pleasants #1 line,low,0.1786,0.0,0.0,1.0,0.2857,0.175,True
JUNIATA 2 XFORMER H 500 KV,pano,JUNIATA  1        XFORMER   H  500 KV,high,0.8357,1.0,0.4,1.0,0.8571,0.7357,False
JUNIATA 2 XFORMER H 500 KV,dayzer,JUNIATA_500 KV_2:ACTUAL,low,0.35,0.4,0.0,1.0,0.0,0.35,True
GARRETAP-GARRETT B 115 KV,pano,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR),medium,0.605,0.75,0.0,1.0,0.8,0.605,True
GARRETAP-GARRETT B 115 KV,dayzer,GARRETAP_115 KV_GAR-GAR:ACTUAL,medium,0.4857,0.5714,0.0,1.0,0.5,0.4286,False
MEHOOPAN115 KV  MEH-NME1,pano,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1),medium,0.69,0.5,1.0,1.0,0.4,0.4817,False
MEHOOPAN115 KV  MEH-NME1,dayzer,MEHOOPAN_115 KV_MEH-NME1:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.4,True
GRACETON230 KV  GRA-MANO,pano,GRACETON230 KV  GRA-SAF,high,0.7376,0.6667,0.8571,1.0,0.4,0.7045,True
GRACETON230 KV  GRA-MANO,dayzer,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,medium,0.4643,0.5714,0.0,1.0,0.2857,0.4643,True
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,pano,NOTTINGHM 1-3 SER DEV       A  230 KV,high,0.855,0.75,1.0,1.0,0.8,0.855,True
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,dayzer,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,low,0.4412,0.4286,0.0,1.0,0.7692,0.2929,False
CONASTON-PEACHBOT 5012 A 500 KV,pano,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),medium,0.6333,0.8,0.0,1.0,0.8333,0.6333,True
CONASTON-PEACHBOT 5012 A 500 KV,dayzer,CONASTON_500 KV_CNS-PEA:ACTUAL,medium,0.5278,0.6667,0.0,1.0,0.4444,0.5083,True
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,pano,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB),high,0.8917,0.8333,1.0,1.0,0.75,0.7681,False
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,dayzer,CEDARGRO_230 KV_CED-CLIB:ACTUAL,medium,0.4667,0.6,0.0,1.0,0.1667,0.4182,True
BRIGHTON 6AB           CB      500 KV,pano,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR),medium,0.5917,0.25,1.0,1.0,0.6667,0.4988,False
BRIGHTON 6AB           CB      500 KV,dayzer,DOUBS_500 KV_500-2:L500.Brighton-Doubs,low,0.3167,0.3333,0.0,1.0,0.0,0.3167,True
