market_record_id,market_index,market_constraint,match_source,candidate_record_id,candidate_index,candidate_constraint,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,rule_score,rule_score_v1,rule_score_v2,best_score,second_best_score,score_margin,ambiguity_flag,manual_label,review_notes
10000566797,88,BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,dayzer,512699,2339,BUTL APS_138 KV_BUT-KAR:ACTUAL,0.615385,0.0,1.0,1.0,0.714286,0.5,0.0,,0.621429,0.507692,0.621429,0.621429,0.574762,0.046667000000000014,True,,
10000566797,88,BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,pano,14075,14074,BUTL APS-KARNSCIT KC-BT     A  138 KV,0.769231,0.0,1.0,1.0,0.625,0.8,0.0,,0.567404,0.614615,0.567404,0.567404,0.55997,0.007434000000000052,True,,
10000567030,90,KRENDALE 138 KV KRENDALE-SHANORMA KND-BT,dayzer,520814,4087,KRENDALE_138 KV_KRE-SHA:ACTUAL,0.545455,0.0,1.0,1.0,0.428571,0.166667,0.0,,0.547403,0.439394,0.547403,0.547403,0.528333,0.01906999999999992,True,,
10004212881,91,EWATERVT138 KV  EAS-WES,pano,4240,4239,WESTSTRE 138KV - EWATERVT 138KV (EWATERVT 138 KV EAS-WES),0.5,0.0,1.0,1.0,0.4,0.545455,0.0,,0.422273,0.454545,0.422273,0.422273,0.421667,0.0006059999999999954,True,,
10003951029,92,LACKAWAN-OXBOW ETP 2004 A 230 KV,pano,1087,1086,OXBOW 230KV - LACKAWAN 230KV (LACKAWAN 230 KV LAC-OXB),0.727273,0.0,1.0,1.0,0.615385,0.714286,0.0,,0.543756,0.585065,0.543756,0.543756,0.542401,0.001354999999999995,True,,
10002877927,94,REMNTNCT230 KV  299A,dayzer,551163,10565,REMNTNCT_230 KV_299A:L230.Remington-RemingtonCT.2077,0.285714,0.0,1.0,1.0,0.8,0.0,0.0,,0.415714,0.292857,0.415714,0.415714,0.395714,0.019999999999999962,True,,
10000568636,96,COLLEGEC 138 KV COLLEGEC-COLLINSV,dayzer,512479,2229,COLLEGEC_138 KV_COL-COL6:ACTUAL,0.666667,0.0,1.0,1.0,0.5,0.0,0.0,,0.633333,0.483333,0.633333,0.633333,0.59026,0.04307300000000003,True,,
10000565540,97,HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,dayzer,512417,2179,HARWOOD_230 KV_HAR-SUS2:ACTUAL,0.75,0.0,1.0,1.0,0.6,0.0,0.0,,0.6975,0.525,0.6975,0.6975,0.6975,0.0,True,,
10000565081,98,MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259,pano,516,515,SADDLEBR 230KV - MAYWOOD 230KV (MAYWOOD 230 KV MAY-SAD),0.8,0.0,1.0,1.0,0.666667,0.769231,0.0,,0.581795,0.626923,0.581795,0.581795,0.580238,0.0015569999999999196,True,,
10002494913,99,MARDELA-VIENNA 6708-1 A 69 KV,dayzer,201269,550,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,0.8,0.0,1.0,1.0,0.666667,0.25,0.0,,0.736667,0.575,0.736667,0.736667,0.6975,0.03916699999999995,True,,
10017145374,100,KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV,dayzer,533584,8410,KOKOMOPS_230 KV_KOK-NEW1:Nucor-Cayuga 345 kV,0.307692,0.0,1.0,1.0,0.307692,0.0,0.0,,0.380769,0.303846,0.380769,0.380769,0.35,0.030769000000000046,True,,
10004293112,102,MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG,dayzer,532257,7466,66 E FRN_345 KV_6608:L765.Dumont-Wilton Center.11215,0.571429,0.0,1.0,1.0,0.625,0.0,0.0,,0.583929,0.435714,0.583929,0.583929,0.583929,0.0,True,,
10000565451,103,BRUNNERI 230 KV BRUNNERI-YORKANA 1055,dayzer,532845,7845,BRUNNERI_230 KV_BRU-YOR:500/230.Conastone.500-4,0.666667,0.0,1.0,1.0,0.666667,0.222222,0.0,,0.65,0.505556,0.65,0.65,0.633333,0.016666999999999987,True,,
10016743781,106,MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,dayzer,552022,11066,WEEDMAN3_138 KV_1592 4:Clinton-Oreana-GooseCrk 345 kV,0.6,0.0,1.0,1.0,0.461538,0.0,0.0,,0.586154,0.45,0.586154,0.586154,0.586154,0.0,True,,
10016743781,106,MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,pano,16498,16497,Brokaw-N.Leroy 138 kv l/o  Clinton-Oreana-GooseCrk,0.615385,0.5,1.0,1.0,0.5,0.0,0.0,,0.601923,0.582692,0.601923,0.601923,0.601923,0.0,True,,
10015743081,107,TRENTON2138 KV  TRE-COL1,pano,12028,12027,TRENTON2138 KV  TRE-HUT1,0.666667,0.0,1.0,1.0,0.363636,0.666667,0.0,,0.501515,0.55,0.501515,0.501515,0.498571,0.0029440000000000577,True,,
10002905981,109,EASTON-EMUNI 6772 A 69 KV,pano,1920,1919,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),0.571429,0.0,1.0,1.0,0.444444,0.545455,0.0,,0.456638,0.49026,0.456638,0.456638,0.455325,0.0013130000000000086,True,,
10017177169,110,16901   138 KV  16901 Z1,dayzer,519607,3100,6606_138 KV_6606 Z1:ACTUAL,0.666667,0.0,1.0,1.0,1.0,0.5,0.0,,0.683333,0.533333,0.683333,0.683333,0.683333,0.0,True,,
