bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
MAR_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,74.975,79.841,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,83.146,88.543,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,99.081,105.512,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,91.114,97.027,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,139.735,148.804,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,89.579,92.654,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,94.892,48.912,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,629.868,651.484,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,89.684,92.761,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 10:00:00,2022-04-01,11,179.471,185.63,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,86.35,89.314,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,83.434,86.297,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,87.6,90.607,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,122.182,126.375,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,77.705,80.372,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,80.517,83.281,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,84.684,87.59,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,99.058,102.458,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,92.288,95.455,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,143.014,147.923,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,92.887,94.234,baseline_lag_168h,next_day
