bus_id,zone_name,timestamp,date,he,actual_pd,p10,p50,p90,interval_width,covered_p10_p90,peak_load_flag
DALTI_138KV_1,NCEN,2022-04-30 08:00:00,2022-04-30,9,102.113,81.06989072385541,97.313806642346,110.38281707988186,29.312926356026452,True,False
DALTI_138KV_1,NCEN,2022-04-30 09:00:00,2022-04-30,10,102.643,81.92223265715688,97.41464512212357,110.16245877534993,28.24022611819305,True,False
DALTI_138KV_1,NCEN,2022-04-30 10:00:00,2022-04-30,11,103.519,81.9706692987516,97.41464512212357,110.26916260257505,28.29849330382345,True,False
DALTI_138KV_1,NCEN,2022-04-30 11:00:00,2022-04-30,12,105.24,82.03470779995155,97.30989815205986,110.346615379033,28.31190757908145,True,False
DALTI_138KV_1,NCEN,2022-04-30 12:00:00,2022-04-30,13,106.484,82.30921756030422,97.30989815205986,110.22695188049683,27.917734320192608,True,False
DALTI_138KV_1,NCEN,2022-04-30 13:00:00,2022-04-30,14,108.434,82.44770115571197,97.30989815205986,110.10728839288299,27.659587237171024,True,False
DALTI_138KV_1,NCEN,2022-04-30 14:00:00,2022-04-30,15,110.775,82.61588303601701,97.43997761053815,109.76376113075307,27.147878094736058,False,False
DALTI_138KV_1,NCEN,2022-04-30 15:00:00,2022-04-30,16,112.194,82.60672880393189,97.38495244172258,108.82135096341013,26.21462215947824,False,False
DALTI_138KV_1,NCEN,2022-04-30 16:00:00,2022-04-30,17,110.23,82.56179175818949,97.284113961945,108.82135096341013,26.25955920522064,False,False
DALTI_138KV_1,NCEN,2022-04-30 17:00:00,2022-04-30,18,105.571,82.27439724112357,97.22923922319654,108.82135096341013,26.54695372228656,True,False
DALTI_138KV_1,NCEN,2022-04-30 18:00:00,2022-04-30,19,101.696,82.27439724112357,97.22923922319654,108.82135096341013,26.54695372228656,True,False
DALTI_138KV_1,NCEN,2022-04-30 19:00:00,2022-04-30,20,97.507,82.34264287230464,97.22923922319654,108.82135096341013,26.47870809110549,True,False
DALTI_138KV_1,NCEN,2022-04-30 20:00:00,2022-04-30,21,92.731,82.5771766912901,96.81495488783196,108.70842754539338,26.13125085410327,True,False
DALTI_138KV_1,NCEN,2022-04-30 21:00:00,2022-04-30,22,92.027,82.5771766912901,96.81495488783196,108.70842754539338,26.13125085410327,True,False
DALTI_138KV_1,NCEN,2022-04-30 22:00:00,2022-04-30,23,92.871,82.41909015311401,96.80141019683222,108.4114055525779,25.99231539946389,True,False
DALTI_138KV_1,NCEN,2022-04-30 23:00:00,2022-04-30,24,93.338,82.00953238175173,96.96685036733774,109.28207606680738,27.272543685055652,True,False
DESSAU_138KV_1,SCEN,2022-04-01 00:00:00,2022-04-01,1,156.82,119.84113143049764,141.451061104292,179.70455885567648,59.86342742517884,True,False
SMI_138KV_1,SCEN,2022-04-01 00:00:00,2022-04-01,1,59.862,53.80539802944403,58.89220664386025,80.86192144798143,27.056523418537402,True,False
SNDSW_138KV_1,SCEN,2022-04-01 00:00:00,2022-04-01,1,200.522,139.23865744429258,165.62459111258713,188.87242052776836,49.63376308347577,False,False
DESSAU_138KV_1,SCEN,2022-04-01 01:00:00,2022-04-01,2,153.431,116.83595423254123,137.53895051406712,172.8570371364707,56.02108290392947,True,False
SMI_138KV_1,SCEN,2022-04-01 01:00:00,2022-04-01,2,58.912,53.93269479526707,58.89220664386025,81.49405418642762,27.56135939116055,True,False
SNDSW_138KV_1,SCEN,2022-04-01 01:00:00,2022-04-01,2,199.04,138.96418957740838,165.62459111258713,188.93409770141398,49.9699081240056,False,False
DESSAU_138KV_1,SCEN,2022-04-01 02:00:00,2022-04-01,3,150.052,116.77349385418793,138.52366127819735,173.41233053045013,56.6388366762622,True,False
SMI_138KV_1,SCEN,2022-04-01 02:00:00,2022-04-01,3,57.614,52.075636134784205,58.08856696478185,81.49405418642762,29.418418051643414,True,False
SNDSW_138KV_1,SCEN,2022-04-01 02:00:00,2022-04-01,3,195.635,134.1873200337616,162.5044150055426,189.83654446629734,55.64922443253573,False,False
DESSAU_138KV_1,SCEN,2022-04-01 03:00:00,2022-04-01,4,148.254,116.77349385418793,138.31094303072743,173.04366582489945,56.270171970711516,True,False
SMI_138KV_1,SCEN,2022-04-01 03:00:00,2022-04-01,4,57.036,52.075636134784205,58.9086360118486,84.52760017848716,32.45196404370296,True,False
SNDSW_138KV_1,SCEN,2022-04-01 03:00:00,2022-04-01,4,193.67,134.1873200337616,162.5044150055426,189.77486729265172,55.58754725889011,False,False
DESSAU_138KV_1,SCEN,2022-04-01 04:00:00,2022-04-01,5,146.666,116.6690335398957,136.51243282828992,172.36452973279106,55.69549619289536,True,False
SMI_138KV_1,SCEN,2022-04-01 04:00:00,2022-04-01,5,56.278,50.77396876226253,57.948663093518135,84.52760017848716,33.753631416224636,True,False
SNDSW_138KV_1,SCEN,2022-04-01 04:00:00,2022-04-01,5,191.096,134.08285971946938,160.8671973267303,189.17791081683603,55.09505109736665,False,False
DESSAU_138KV_1,SCEN,2022-04-01 05:00:00,2022-04-01,6,145.191,112.61966488133513,132.30988096349162,172.37835402509816,59.758689143763036,True,False
SMI_138KV_1,SCEN,2022-04-01 05:00:00,2022-04-01,6,55.639,50.88864146444517,57.77427827859326,84.57557210182674,33.686930637381565,True,False
SNDSW_138KV_1,SCEN,2022-04-01 05:00:00,2022-04-01,6,188.928,134.11198043952535,160.41431439299564,189.10955549285043,54.99757505332508,True,False
DESSAU_138KV_1,SCEN,2022-04-01 06:00:00,2022-04-01,7,144.841,117.2748196173775,136.21219822365723,172.37835402509816,55.10353440772066,True,False
SMI_138KV_1,SCEN,2022-04-01 06:00:00,2022-04-01,7,54.757,51.73862049991398,55.79689048349755,81.82877491781547,30.090154417901488,True,False
SNDSW_138KV_1,SCEN,2022-04-01 06:00:00,2022-04-01,7,185.932,134.77171874011555,160.77968096956747,188.8433657400856,54.071646999970056,True,False
DESSAU_138KV_1,SCEN,2022-04-01 07:00:00,2022-04-01,8,146.762,117.1606899895737,136.20490193735768,172.37835402509816,55.217664035524464,True,False
