date,pd
2023-01-09,943819.232
2023-01-10,975308.523
2023-01-11,997111.749
2023-01-12,948495.206
2023-01-13,1049504.874
2023-01-14,1039347.156
2023-01-15,965455.788
2023-01-16,965082.42
2023-01-17,975720.836
2023-01-18,976391.765
2023-01-19,970563.526
2023-01-20,1019379.158
2023-01-21,986161.508
2023-01-22,1006599.184
2023-01-23,1104210.807
2023-01-24,1119135.485
2023-01-25,1160790.079
2023-01-26,1087301.79
2023-01-27,1129060.435
2023-01-28,994410.955
2023-01-29,1018176.568
2023-01-30,1334599.207
2023-01-31,1458119.553
2023-02-01,1431271.249
2023-02-02,1352960.854
2023-02-03,1208208.278
2023-02-04,1092154.398
2023-02-05,972876.776
2023-02-06,967846.112
2023-02-07,988693.608
2023-02-08,1059480.6
2023-02-09,1061805.235
2023-02-10,1103056.173
2023-02-11,1113775.047
2023-02-12,1048914.85
2023-02-13,1026435.644
2023-02-14,976880.575
2023-02-15,999273.607
2023-02-16,1067389.998
2023-02-17,1182407.385
2023-02-18,1135185.21
2023-02-19,991099.0380000001
2023-02-20,1000216.115
2023-02-21,1029922.027
2023-02-22,1044232.485
2023-02-23,1031096.479
2023-02-24,1066108.8530000001
2023-02-25,1048015.736
2023-02-26,1008077.916
2023-02-27,1025721.049
2023-02-28,1042364.512
2023-03-01,1055613.008
2023-03-02,1042635.37
2023-03-03,957478.134
2023-03-04,945330.8319999999
2023-03-05,954112.134
2023-03-06,1035458.2660000001
2023-03-07,1049446.907
2023-03-08,1050953.927
2023-03-09,1054850.648
2023-03-10,1029604.469
2023-03-11,1052675.779
2023-03-12,949967.56
2023-03-13,969136.8
2023-03-14,983389.648
2023-03-15,993086.589
2023-03-16,1016663.542
2023-03-17,1024895.095
2023-03-18,1026012.643
2023-03-19,1034586.912
2023-03-20,1112734.525
2023-03-21,1030732.54
2023-03-22,1049662.321
2023-03-23,1094391.31
2023-03-24,1074446.932
2023-03-25,987007.102
2023-03-26,968163.186
2023-03-27,1017573.546
2023-03-28,993100.273
2023-03-29,966668.173
2023-03-30,1020379.009
2023-03-31,1097302.274
2023-04-01,1008644.83
2023-04-02,1034404.017
2023-04-03,1185305.66
2023-04-04,1173362.185
2023-04-05,1044363.626
2023-04-06,976616.744
2023-04-07,967242.313
2023-04-08,923865.6410000001
2023-04-09,919217.574
2023-04-10,975362.14
2023-04-11,1000597.198
2023-04-12,1009041.1
2023-04-13,978066.849
2023-04-14,1053644.773
2023-04-15,1101112.873
2023-04-16,945123.094
2023-04-17,998331.219
2023-04-18,1033077.112
2023-04-19,1110888.671
2023-04-20,1118920.591
2023-04-21,1037295.677
2023-04-22,978926.132
2023-04-23,917338.839
2023-04-24,954053.641
2023-04-25,996787.837
2023-04-26,1061523.732
2023-04-27,1024566.612
2023-04-28,1037587.532
2023-04-29,924221.449
2023-04-30,986556.485
2023-05-01,1046046.057
2023-05-02,1075119.544
2023-05-03,1104022.997
2023-05-04,1120477.181
2023-05-05,1283527.697
2023-05-06,1216525.884
2023-05-07,1135535.004
2023-05-08,1224485.896
2023-05-09,1144000.196
2023-05-10,1111614.252
2023-05-11,1226777.113
2023-05-12,1279618.506
2023-05-13,1102421.012
2023-05-14,1067441.036
2023-05-15,1164851.111
2023-05-16,1133519.145
2023-05-17,1162805.405
2023-05-18,1218098.031
2023-05-19,1270885.405
2023-05-20,1123030.247
2023-05-21,1040517.089
2023-05-22,1167092.191
2023-05-23,1229724.056
2023-05-24,1218071.558
2023-05-25,1214055.078
2023-05-26,1217525.644
2023-05-27,1171266.992
2023-05-28,1142137.734
2023-05-29,1180347.894
2023-05-30,1235090.44
2023-05-31,1274975.692
2023-06-01,1287437.416
2023-06-02,1307941.771
2023-06-03,1248274.459
2023-06-04,1152960.5929999999
2023-06-05,1191842.119
2023-06-06,1214459.206
2023-06-07,1272288.8699999999
2023-06-08,1275088.531
2023-06-09,1365732.164
2023-06-10,1382679.509
2023-06-11,1372878.1300000001
2023-06-12,1397596.658
2023-06-13,1365512.85
2023-06-14,1422931.447
2023-06-15,1504239.58
2023-06-16,1488655.9239999999
2023-06-17,1460656.109
2023-06-18,1462353.689
2023-06-19,1555982.987
2023-06-20,1590221.484
2023-06-21,1543186.046
2023-06-22,1440453.293
2023-06-23,1481224.985
2023-06-24,1499250.074
2023-06-25,1543858.92
2023-06-26,1596938.367
2023-06-27,1609210.093
2023-06-28,1592571.215
2023-06-29,1586149.697
2023-06-30,1548529.754
2023-07-01,1426402.359
2023-07-02,1370909.357
2023-07-03,1466265.27
2023-07-04,1424221.788
2023-07-05,1510102.478
2023-07-06,1421299.618
2023-07-07,1411148.646
2023-07-08,1451033.681
2023-07-09,1454701.829
2023-07-10,1548573.824
2023-07-11,1563433.021
2023-07-12,1617386.292
2023-07-13,1629424.054
2023-07-14,1615417.44
2023-07-15,1559396.796
2023-07-16,1476224.094
2023-07-17,1582134.605
2023-07-18,1636703.079
2023-07-19,1639129.587
2023-07-20,1618468.636
2023-07-21,1582333.152
2023-07-22,1514300.626
2023-07-23,1461308.417
2023-07-24,1546326.315
2023-07-25,1582478.218
2023-07-26,1581923.138
2023-07-27,1571927.043
2023-07-28,1554906.239
2023-07-29,1523091.737
2023-07-30,1540971.855
2023-07-31,1633194.905
2023-08-01,1660084.223
2023-08-02,1657484.743
2023-08-03,1660320.94
2023-08-04,1671983.321
2023-08-05,1652393.328
2023-08-06,1618525.152
2023-08-07,1676429.3090000001
2023-08-08,1661855.541
2023-08-09,1680899.665
2023-08-10,1699069.84
2023-08-11,1706611.154
2023-08-12,1674176.714
2023-08-13,1654650.857
2023-08-14,1668221.9
2023-08-15,1565176.788
2023-08-16,1517953.034
2023-08-17,1598301.056
2023-08-18,1659593.31
2023-08-19,1632625.879
2023-08-20,1640729.902
2023-08-21,1675568.428
2023-08-22,1612060.127
2023-08-23,1619153.564
2023-08-24,1636081.248
2023-08-25,1649298.062
2023-08-26,1605773.147
2023-08-27,1561611.93
2023-08-28,1513813.063
2023-08-29,1482962.051
2023-08-30,1461852.663
2023-08-31,1477140.728
2023-09-01,1483949.52
2023-09-02,1432323.685
2023-09-03,1452484.757
2023-09-04,1531076.127
2023-09-05,1622994.376
2023-09-06,1615510.638
2023-09-07,1639518.88
2023-09-08,1639403.496
2023-09-09,1496427.18
2023-09-10,1395142.506
2023-09-11,1374473.759
2023-09-12,1352423.113
2023-09-13,1328894.747
2023-09-14,1293260.126
2023-09-15,1290872.359
2023-09-16,1231058.339
2023-09-17,1267344.463
2023-09-18,1330930.352
2023-09-19,1361278.186
2023-09-20,1403237.24
2023-09-21,1445812.986
2023-09-22,1484178.531
2023-09-23,1494946.149
2023-09-24,1491081.981
2023-09-25,1426516.002
2023-09-26,1385241.984
2023-09-27,1393605.496
2023-09-28,1417868.854
2023-09-29,1426660.287
2023-09-30,1373436.105
2023-10-01,1311513.737
2023-10-02,1335000.568
2023-10-03,1311750.172
2023-10-04,1345781.493
2023-10-05,1201440.395
2023-10-06,1165877.016
2023-10-07,1004022.249
2023-10-08,971696.571
2023-10-09,1086035.129
2023-10-10,1115793.634
2023-10-11,1078870.852
2023-10-12,1121298.237
2023-10-13,1200582.112
2023-10-14,997944.524
2023-10-15,948955.439
2023-10-16,984124.456
2023-10-17,1001252.186
2023-10-18,1041136.714
2023-10-19,1090668.286
2023-10-20,1126349.8260000001
2023-10-21,1111319.908
2023-10-22,1143602.444
2023-10-23,1209326.373
2023-10-24,1194863.422
2023-10-25,1200655.184
2023-10-26,1201455.556
2023-10-27,1240317.021
2023-10-28,1137830.766
2023-10-29,1101391.051
2023-10-30,1105944.24
2023-10-31,1085365.213
2023-11-01,1081285.349
2023-11-02,1063521.703
2023-11-03,1026862.4619999999
2023-11-04,989914.67
2023-11-05,1003573.09
2023-11-06,1086357.181
2023-11-07,1124246.015
2023-11-08,1143424.256
2023-11-09,1074302.565
2023-11-10,1013020.993
2023-11-11,972056.047
2023-11-12,968575.1849999999
2023-11-13,1001977.061
2023-11-14,996208.1579999999
2023-11-15,999064.222
2023-11-16,1010896.989
2023-11-17,1022896.416
2023-11-18,986764.719
2023-11-19,982096.348
2023-11-20,1053458.913
2023-11-21,1038824.555
2023-11-22,1077511.699
2023-11-23,1026135.148
2023-11-24,990159.407
2023-11-25,995196.583
2023-11-26,1035652.242
2023-11-27,1151107.7719999999
2023-11-28,1087799.664
2023-11-29,1091219.437
2023-11-30,1038496.6950000001
2023-12-01,1025270.126
2023-12-02,1020114.36
2023-12-03,1008173.21
2023-12-04,1044847.0970000001
2023-12-05,1012258.215
2023-12-06,1054119.938
2023-12-07,1065277.978
2023-12-08,1046623.03
2023-12-09,1032157.846
2023-12-10,1073403.223
2023-12-11,1150300.184
2023-12-12,1095170.291
2023-12-13,1086847.749
2023-12-14,1076558.3530000001
2023-12-15,1055356.754
2023-12-16,1049742.545
2023-12-17,1066068.187
2023-12-18,1089249.33
2023-12-19,1122963.552
2023-12-20,1071133.567
2023-12-21,1041288.297
2023-12-22,1019628.362
2023-12-23,1000989.3
2023-12-24,983562.002
2023-12-25,1032444.009
2023-12-26,1126567.599
2023-12-27,1127869.008
2023-12-28,1157072.708
2023-12-29,1174042.134
2023-12-30,1111969.733
2023-12-31,1052395.311
2024-01-01,1083256.769
2024-01-02,1211047.627
2024-01-03,1162616.678
2024-01-04,1160860.142
2024-01-05,1072818.441
2024-01-06,1125417.237
2024-01-07,1121270.256
2024-01-08,1130210.814
2024-01-09,1245570.057
2024-01-10,1205565.658
2024-01-11,1103265.382
2024-01-12,1170658.129
2024-01-13,1232422.837
2024-01-14,1518829.304
2024-01-15,1733884.563
2024-01-16,1707661.313
2024-01-17,1560386.511
2024-01-18,1213995.768
2024-01-19,1338260.123
2024-01-20,1468552.52
2024-01-21,1415661.784
2024-01-22,1287623.973
2024-01-23,1143097.767
2024-01-24,1104011.669
2024-01-25,1072205.045
2024-01-26,1086215.725
2024-01-27,1079472.029
2024-01-28,1099385.106
2024-01-29,1090802.211
2024-01-30,1046537.814
2024-01-31,1031804.336
2024-02-01,1015563.115
2024-02-02,1010022.985
2024-02-03,977638.396
2024-02-04,996488.498
2024-02-05,1044937.787
2024-02-06,1049221.244
2024-02-07,1037934.183
2024-02-08,1019291.745
2024-02-09,1032020.323
2024-02-10,1002042.6950000001
2024-02-11,1042883.11
2024-02-12,1119188.013
2024-02-13,1107307.665
2024-02-14,1061858.892
2024-02-15,1011155.952
2024-02-16,1016203.144
2024-02-17,1162403.197
2024-02-18,1159489.726
2024-02-19,1124310.518
2024-02-20,1055321.748
2024-02-21,1027038.267
2024-02-22,1042120.4180000001
2024-02-23,999745.947
2024-02-24,987234.879
2024-02-25,998952.067
2024-02-26,1091790.803
2024-02-27,1109525.979
2024-02-28,1069336.155
2024-02-29,1131554.21
2024-03-01,1068730.365
2024-03-02,1010854.512
2024-03-03,1024727.172
2024-03-04,1099388.851
2024-03-05,1100834.028
2024-03-06,1066540.632
2024-03-07,1060187.641
2024-03-08,1081867.695
2024-03-09,998422.381
2024-03-10,935053.916
2024-03-11,1005558.859
2024-03-12,1025842.832
2024-03-13,1092602.632
2024-03-14,1123196.665
2024-03-15,1084061.365
2024-03-16,1005653.249
2024-03-17,997525.29
2024-03-18,1021704.139
2024-03-19,1029807.856
2024-03-20,1013571.633
2024-03-21,1022298.961
2024-03-22,1044213.801
2024-03-23,990209.336
2024-03-24,990192.671
2024-03-25,1048355.17
2024-03-26,1023495.707
2024-03-27,1027858.537
2024-03-28,1034675.955
2024-03-29,1029319.894
2024-03-30,1025229.936
2024-03-31,1042759.965
2024-04-01,1143300.522
2024-04-02,1064975.673
2024-04-03,1017393.705
2024-04-04,1053260.498
2024-04-05,1089654.027
2024-04-06,1050814.819
2024-04-07,1067905.445
2024-04-08,1117604.171
2024-04-09,1126756.186
2024-04-10,1038481.047
2024-04-11,1028971.979
2024-04-12,1045282.888
2024-04-13,1048156.649
2024-04-14,1095009.956
2024-04-15,1108367.721
2024-04-16,1173834.937
2024-04-17,1205993.897
2024-04-18,1237225.335
2024-04-19,1129168.054
2024-04-20,1068628.9
2024-04-21,972149.847
2024-04-22,1019231.654
2024-04-23,1059283.613
2024-04-24,1149782.679
2024-04-25,1171565.163
2024-04-26,1186627.509
2024-04-27,1145024.325
2024-04-28,1128257.996
2024-04-29,1221212.196
2024-04-30,1247017.5760000001
2024-05-01,1223526.109
2024-05-02,1193866.975
2024-05-03,1195290.892
2024-05-04,1155079.666
2024-05-05,1123532.318
2024-05-06,1262910.719
2024-05-07,1338264.369
2024-05-08,1369830.958
2024-05-09,1334720.413
2024-05-10,1224600.08
2024-05-11,1124993.99
2024-05-12,1101775.48
2024-05-13,1190263.185
2024-05-14,1217860.196
2024-05-15,1285961.347
2024-05-16,1169139.187
2024-05-17,1103088.065
2024-05-18,1241661.151
2024-05-19,1322287.099
2024-05-20,1387844.541
2024-05-21,1426197.285
2024-05-22,1400076.461
2024-05-23,1398152.361
2024-05-24,1442600.033
2024-05-25,1418183.177
2024-05-26,1442495.458
2024-05-27,1481992.09
2024-05-28,1336378.179
2024-05-29,1324691.583
2024-05-30,1356003.322
2024-05-31,1267289.78
2024-06-01,1282130.847
2024-06-02,1351518.411
2024-06-03,1434864.556
2024-06-04,1418811.115
2024-06-05,1401263.822
2024-06-06,1440373.852
2024-06-07,1489667.234
2024-06-08,1479233.175
2024-06-09,1452283.808
2024-06-10,1423940.808
2024-06-11,1374575.685
2024-06-12,1409691.192
2024-06-13,1479552.329
2024-06-14,1500736.2820000001
2024-06-15,1462015.857
2024-06-16,1479174.287
2024-06-17,1545155.646
2024-06-18,1491596.525
2024-06-19,1346111.488
2024-06-20,1432714.804
2024-06-21,1476643.127
2024-06-22,1468712.007
2024-06-23,1487054.85
2024-06-24,1576930.912
2024-06-25,1612378.517
2024-06-26,1620155.855
2024-06-27,1613663.122
2024-06-28,1633811.046
2024-06-29,1616472.1300000001
2024-06-30,1584527.262
2024-07-01,1628470.17
2024-07-02,1634072.1
