zone_name,zone_pd,date,he,bus_sum_pd,abs_diff_pd,pct_diff
FWES,4028.135,2022-01-01,19,4028.137,0.0019999999999527063,4.965076890304585e-07
ISOLATED,0.0,2022-01-01,19,,,
NCEN,13033.991,2022-01-01,19,13033.984,0.006999999999607098,5.370572988432398e-07
NOTH,1341.684,2022-01-01,19,1341.683,0.0009999999999763531,7.453319857554783e-07
SCEN,7148.707,2022-01-01,19,7148.701,0.006000000000312866,8.393126197944419e-07
SOUT,3941.045,2022-01-01,19,3941.055,0.009999999999763531,2.5373980758310375e-06
WEST,1583.99,2022-01-01,19,1584.016,0.026000000000067303,1.6414245039468245e-05
COAS,12866.968,2022-01-01,20,12866.973,0.004999999999199645,3.885919355049025e-07
EAST,1483.685,2022-01-01,20,1483.687,0.0019999999999527063,1.3479950258664786e-06
FWES,4122.866,2022-01-01,20,4122.857,0.009000000000014552,2.182947493324923e-06
ISOLATED,0.0,2022-01-01,20,,,
NCEN,13650.657,2022-01-01,20,13650.655,0.0019999999985884642,1.465130944677948e-07
NOTH,1369.701,2022-01-01,20,1369.7,0.0009999999999763531,7.300863472950324e-07
SCEN,6921.674,2022-01-01,20,6921.664,0.010000000000218279,1.4447372124457579e-06
SOUT,3752.149,2022-01-01,20,3752.156,0.007000000000061846,1.8655975549110246e-06
WEST,1540.98,2022-01-01,20,1541.012,0.03199999999992542,2.0766006048050865e-05
COAS,12487.475,2022-01-01,21,12487.463,0.012000000000625732,9.60962884860689e-07
EAST,1476.496,2022-01-01,21,1476.534,0.038000000000010914,2.5736608836062484e-05
FWES,4192.063,2022-01-01,21,4192.078,0.015000000000327418,3.578190499600654e-06
ISOLATED,0.0,2022-01-01,21,,,
NCEN,14265.468,2022-01-01,21,14265.48,0.011999999998806743,8.411921711090546e-07
NOTH,1392.405,2022-01-01,21,1392.392,0.012999999999919964,9.33636406068634e-06
SCEN,6631.66,2022-01-01,21,6631.642,0.018000000000029104,2.7142525400923908e-06
SOUT,3574.52,2022-01-01,21,3574.526,0.005999999999858119,1.67854704963411e-06
WEST,1500.43,2022-01-01,21,1500.431,0.0009999999999763531,6.6647561030928e-07
COAS,12147.89,2022-01-01,22,12147.889,0.0010000000002037268,8.231882246247924e-08
EAST,1454.263,2022-01-01,22,1454.263,0.0,0.0
FWES,4255.274,2022-01-01,22,4255.278,0.0039999999999054126,9.400099734835906e-07
ISOLATED,0.0,2022-01-01,22,,,
NCEN,14790.569,2022-01-01,22,14790.574,0.005000000001018634,3.3805325549129546e-07
NOTH,1400.715,2022-01-01,22,1400.709,0.005999999999858119,4.283526627371106e-06
SCEN,6332.612,2022-01-01,22,6332.626,0.014000000000123691,2.2107781118002636e-06
SOUT,3440.583,2022-01-01,22,3440.578,0.005000000000109139,1.453242081388282e-06
WEST,1472.36,2022-01-01,22,1472.35,0.009999999999990905,6.791817218608836e-06
COAS,11670.955,2022-01-01,23,11670.956,0.0010000000002037268,8.568279118578786e-08
EAST,1418.844,2022-01-01,23,1418.845,0.0009999999999763531,7.047991181386771e-07
FWES,4277.327,2022-01-01,23,4277.33,0.0029999999997016857,7.013726095062841e-07
ISOLATED,0.0,2022-01-01,23,,,
NCEN,15051.63,2022-01-01,23,15051.639,0.009000000000014552,5.979418840361178e-07
NOTH,1392.651,2022-01-01,23,1392.646,0.005000000000109139,3.590274950514622e-06
SCEN,6045.75,2022-01-01,23,6045.749,0.0010000000002037268,1.6540545014327862e-07
SOUT,3304.944,2022-01-01,23,3304.944,0.0,0.0
WEST,1439.46,2022-01-01,23,1439.46,0.0,0.0
COAS,11115.622,2022-01-01,24,11115.621,0.0010000000002037268,8.996347664608664e-08
EAST,1419.11,2022-01-01,24,1419.119,0.009000000000014552,6.3420030864517565e-06
FWES,4240.68,2022-01-01,24,4240.686,0.0059999999994033715,1.4148674267814057e-06
ISOLATED,0.0,2022-01-01,24,,,
NCEN,15228.632,2022-01-01,24,15228.659,0.027000000000043656,1.7729760624620554e-06
NOTH,1405.548,2022-01-01,24,1405.545,0.0029999999999290594,2.1343988251764146e-06
SCEN,5709.635,2022-01-01,24,5709.644,0.009000000000014552,1.5762828972455423e-06
SOUT,3127.316,2022-01-01,24,3127.32,0.00400000000036016,1.27905206904584e-06
WEST,1426.25,2022-01-01,24,1426.218,0.03199999999992542,2.243645924622291e-05
